Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Latin America,Argentina,Petrobras Argentina SA,Government Related,18485849,3097521,
Oceania,Australia,Amcor Ltd/Australia,Corporate,159103558,26659667,
Oceania,Australia,Asciano Finance Ltd,Corporate,151304904,25352911,
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate,296596050,49698146,
Oceania,Australia,BHP Billiton Finance Ltd,Corporate,179602370,30094483,
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate,272076752,45589650,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,581537288,97443392,
Oceania,Australia,Crusade Euro Trust,Securitized,146455977,24540416,
Oceania,Australia,Crusade Global Trust,Securitized,423190820,70910584,
Oceania,Australia,FBG Finance Ltd,Corporate,90280033,15127478,
Oceania,Australia,Government of Australia,Government,4112992705,689180155,
Oceania,Australia,Incitec Pivot Ltd,Corporate,36569067,6127576,
Oceania,Australia,Insurance Australia Group Ltd,Corporate,30645760,5135057,
Oceania,Australia,Medallion Trust,Securitized,161471228,27056398,
Oceania,Australia,National Australia Bank Ltd,Corporate/Securitized,1793545810,300529631,
Oceania,Australia,National RMBS Trust,Securitized,46442094,7781917,
Oceania,Australia,Qantas Airways Ltd,Corporate,95367056,15979868,
Oceania,Australia,QBE Insurance Group Ltd,Corporate,49035956,8216549,
Oceania,Australia,SPI Electricity & Gas Australia Holdings Pty Ltd,Corporate,122668655,20554572,
Oceania,Australia,Suncorp Group Ltd,Corporate,39262452,6578884,
Oceania,Australia,Swan,Securitized,348037611,58317783,
Oceania,Australia,Telstra Corp Ltd,Corporate,763702916,127967378,
Oceania,Australia,Westfield Trust,Corporate,94139393,15774159,
Oceania,Australia,Westpac Banking Corp,Corporate,888722750,148915918,
Oceania,Australia,Westpac Securitisation Trust,Securitized,144373855,24191532,
Oceania,Australia,Woodside Finance Ltd,Corporate,44258836,7416087,
Oceania,Australia,Woolworths Ltd,Corporate,210576654,35284588,
Europe,Austria,Autobahn Schnell AG,Government Related,316307099,53000963,
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,Corporate,39927656,6690347,
Europe,Austria,Erste Group Bank AG,Securitized,151610163,25404060,
Europe,Austria,Government of Austria,Government,15560799156,2607394358,
Europe,Austria,Hypo Alpe-Adria-Bank International AG,Government Related,1055972997,176940658,
Europe,Austria,KA Finanz AG,Government Related,535736449,89768924,
Europe,Austria,KIG - Krankenanstalten Immobiliengesellschaft mbH,Government Related,87171334,14606579,
Europe,Austria,Kommunalkredit Austria AG,Securitized,370157155,62024172,
Europe,Austria,OeBB Infrastruktur AG,Government Related,403704952,67645498,
Europe,Austria,Oesterreichische Kontrollbank AG,Government Related,1138394111,190751282,
Europe,Austria,Oesterreichische Volksbanken AG,Government Related,70543206,11820341,
Europe,Austria,Pfandbriefstelle der Oesterreichischen Landes-Hypothekenbanken,Government Related,463615767,77684258,
Europe,Austria,Telekom Finanzmanagement GmbH,Corporate,129957125,21775840,
Europe,Austria,UniCredit Bank Austria AG,Corporate,199026159,33349167,
Europe,Austria,Verbund International Finance BV,Corporate,133128304,22307208,
Middle East,Bahrain,Government of Bahrain,Government,28613419,4794514,
Latin America,Barbados,Voto-Votorantim Overseas Trading Operations NV,Corporate,32157304,5388333,
Europe,Belgium,Anheuser-Busch InBev NV,Corporate,386771307,64808068,
Europe,Belgium,ASR Nederland NV,Corporate,11371634,1905451,
Europe,Belgium,Delhaize Group SA,Corporate,9584212,1605947,
Europe,Belgium,Elia System Operator SA/NV,Corporate,183605965,30765332,
Europe,Belgium,Flemish Community,Government Related,318723372,53405838,
Europe,Belgium,Fortis Bank SA/NV,Corporate,267220264,44775889,
Europe,Belgium,Government of Belgium,Government,14813195093,2482124531,
Europe,Belgium,Home Loan Invest,Securitized,386179250,64708861,
Europe,Belgium,Solvay SA,Corporate,25008044,4190391,
North America,Bermuda,Allied World Assurance Co Ltd,Corporate,101387155,16988607,
North America,Bermuda,Holcim GB Finance Ltd,Corporate,58167169,9746591,
North America,Bermuda,Qtel International Finance Ltd,Government Related,48762441,8170719,
North America,Bermuda,Weatherford International Ltd/Bermuda,Corporate,97578323,16350392,
Latin America,Brazil,Banco Nacional de Desenvolvimento Economico e Social,Government Related,83560282,14001505,
Latin America,Brazil,Centrais Eletricas Brasileiras SA,Government Related,222162016,37225851,
Latin America,Brazil,Government of Brazil,Government,3140730613,526266241,
Latin America,Brazil,GTL Trade Finance Inc,Corporate,19502639,3267896,
Latin America,Brazil,Petrobras International Finance Co - Pifco,Government Related,634672341,106346793,
Latin America,Brazil,Telemar Norte Leste SA,Corporate,29702156,4976944,
Latin America,Brazil,Vale SA,Corporate,32827115,5500568,
Latin America,British Virgin Islands,CNOOC Finance 2003 Ltd,Government Related,66931222,11215111,
Latin America,British Virgin Islands,Gold Fields Orogen Holding BVI Ltd,Corporate,26686166,4471580,
Latin America,British Virgin Islands,PCCW-HKT Telephone Ltd,Corporate,64058240,10733709,
North America,Canada,407 International Inc,Corporate,85034157,14248470,
North America,Canada,Agrium Inc,Corporate,95287257,15966497,
North America,Canada,American Express Canada Credit Corp,Corporate,46542007,7798659,
North America,Canada,Apache Finance Canada Corp,Corporate,13172498,2207207,
North America,Canada,Bank of Montreal,Corporate/Securitized,2414636458,404600651,
North America,Canada,Bank of Nova Scotia,Corporate/Securitized,2890057393,484263004,
North America,Canada,Bell Aliant Regional Communications LP,Corporate,99929960,16744437,
North America,Canada,Bell Canada,Corporate,167800017,28116860,
North America,Canada,BMW Canada Inc,Corporate,10781688,1806598,
North America,Canada,Brookfield Renewable Power Inc,Corporate,18262981,3060177,
North America,Canada,Burlington Resources Finance Co,Corporate,57740967,9675176,
North America,Canada,Cameco Corp,Corporate,13456018,2254714,
North America,Canada,Canadian Imperial Bank of Commerce/Canada,Corporate/Securitized,3111106582,521302387,
North America,Canada,Canadian National Railway Co,Corporate,73015815,12234656,
