Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Adelaide Bank Ltd,Financials,15004340,2409813,0.23,0.23,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,9086025,1459286,0.12,0.12,Australia
Oceania,Australia,AGL Energy Ltd,Utilities,96083156,15431699,0.32,0.32,Australia
Oceania,Australia,Alinta Ltd,Utilities,91097487,14630961,0.32,0.32,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,258524297,41521003,0.62,0.71,Australia
Oceania,Australia,Amcor Ltd,Industrials,81555161,13098390,0.25,0.25,Australia
Oceania,Australia,AMP Ltd,Financials,261505621,41999827,0.28,0.28,Australia
Oceania,Australia,Ansell Ltd,Health Care,19445725,3123134,0.24,0.24,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,9974345,1601957,0.07,0.07,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,104269661,16746515,0.29,0.29,Australia
Oceania,Australia,ASX Ltd,Financials,89230509,14331110,0.28,0.28,Australia
Oceania,Australia,Austereo Group Ltd,Consumer Services,4699451,754768,0.13,0.13,Australia
Oceania,Australia,Australand Property Group,Financials,10733200,1723835,0.12,0.12,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,641921249,103097521,0.25,0.25,Australia
Oceania,Australia,Australian Pharmaceutical Industries Ltd,Consumer Services,2600585,417674,0.09,0.09,Australia
Oceania,Australia,Australian Wealth Management Ltd,Financials,30749916,4938675,0.44,0.44,Australia
Oceania,Australia,AWB Ltd,Consumer Goods,13464868,2162562,0.26,0.26,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,72607832,11661380,0.12,0.12,Australia
Oceania,Australia,Babcock & Brown Infrastructure Group,Industrials,22336652,3587439,0.16,0.16,Australia
Oceania,Australia,Babcock & Brown Japan Property Trust,Financials,13113087,2106063,0.26,0.26,Australia
Oceania,Australia,Babcock & Brown Ltd,Financials,54130462,8693771,0.17,0.17,Australia
Oceania,Australia,Bank of Queensland Ltd,Financials,19270874,3095052,0.23,0.23,Australia
Oceania,Australia,Bendigo Bank Ltd,Financials,77767634,12490084,0.83,0.83,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,964647716,154929889,0.22,0.22,Australia
Oceania,Australia,Billabong International Ltd,Consumer Goods,68698289,11033477,0.39,0.39,Australia
Oceania,Australia,BlueScope Steel Ltd,Basic Materials,64420425,10346419,0.21,0.21,Australia
Oceania,Australia,Boral Ltd,Industrials,63703431,10231264,0.29,0.29,Australia
Oceania,Australia,Bradken Ltd,Industrials,21981556,3530408,0.53,0.53,Australia
Oceania,Australia,Brambles Ltd,Industrials,334504165,53723958,0.35,0.34,Australia
Oceania,Australia,Burns Philp & Co Ltd,Consumer Goods,4323953,694460,0.03,0.03,Australia
Oceania,Australia,Caltex Australia Ltd,Oil & Gas,44584849,7160672,0.15,0.15,Australia
Oceania,Australia,Centro Properties Group,Financials,87837829,14107435,0.24,0.24,Australia
Oceania,Australia,Centro Retail Group,Financials,6468076,1038823,0.12,0.12,Australia
Oceania,Australia,CFS Retail Property Trust,Financials,42016709,6748209,0.18,0.18,Australia
Oceania,Australia,Challenger Financial Services Group Ltd,Financials,18531854,2976359,0.17,0.17,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,55530758,8918670,0.19,0.19,Australia
Oceania,Australia,Cochlear Ltd,Health Care,70792487,11369821,0.45,0.45,Australia
Oceania,Australia,Cockatoo Ridge Wines Ltd,Financials,1363830,219042,1.94,2.09,Australia
Oceania,Australia,Coles Group Ltd,Consumer Services,280152192,44994610,0.34,0.34,Australia
Oceania,Australia,Commonwealth Bank of Australia,Financials,268421666,43110597,0.09,0.09,Australia
Oceania,Australia,Commonwealth Property Office Fund,Financials,27257526,4377770,0.23,0.23,Australia
Oceania,Australia,Computershare Ltd,Financials,123856995,19892392,0.47,0.47,Australia
Oceania,Australia,Consolidated Minerals Ltd,Basic Materials,48827359,7842052,2.02,2.02,Australia
Oceania,Australia,Corporate Express Australia Ltd,Industrials,8492003,1363881,0.16,0.16,Australia
Oceania,Australia,CSL Ltd/Australia,Health Care,79105649,12704979,0.14,0.14,Australia
Oceania,Australia,CSR Ltd,Basic Materials,50263283,8072672,0.31,0.31,Australia
Oceania,Australia,DB RREEF Trust,Financials,58161363,9341165,0.23,0.23,Australia
Oceania,Australia,Downer EDI Ltd,Industrials,61785444,9923221,0.57,0.57,Australia
Oceania,Australia,Dyno Nobel Ltd,Basic Materials,19132073,3072759,0.2,0.2,Australia
Oceania,Australia,Envestra Ltd,Utilities,8837152,1419315,0.19,0.19,Australia
