Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Adelaide Bank Ltd,Financials,7599754,1122356,,0.11,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,3577567,528347,,0.06,Australia
Oceania,Australia,Alinta Ltd,Utilities,24067796,3554410,,0.17,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,155420481,22952997,,0.36,Australia
Oceania,Australia,Amcor Ltd,Industrials,90016704,13293957,,0.28,Australia
Oceania,Australia,AMP Ltd,Financials,131664394,19444622,,0.18,Australia
Oceania,Australia,Ansell Ltd,Health Care,11166951,1649171,,0.13,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,3924640,579603,,0.03,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,53293253,7870519,,0.18,Australia
Oceania,Australia,Austereo Group Ltd,Consumer Services,1804037,266426,,0.06,Australia
Oceania,Australia,Australand Property Group,Financials,5226805,771911,,0.06,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,22413956,3310165,,0.11,Australia
Oceania,Australia,Australian Gas Light Co Ltd,Utilities,76284810,11265986,,0.2,Australia
Oceania,Australia,Australian Pharmaceutical Industries Ltd,Consumer Services,1459870,215598,,0.04,Australia
Oceania,Australia,Australian Stock Exchange Ltd,Financials,19408515,2866312,,0.12,Australia
Oceania,Australia,Australian Wealth Management Ltd,Financials,2423777,357951,,0.11,Australia
Oceania,Australia,Australian Worldwide Exploration Ltd,Oil & Gas,22147550,3270821,,0.51,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,381775425,56381824,,0.18,Australia
Oceania,Australia,AWB Ltd,Consumer Goods,13905134,2053555,,0.13,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,76111511,11240393,,0.17,Australia
Oceania,Australia,Babcock & Brown Ltd,Financials,9211580,1360396,,0.05,Australia
Oceania,Australia,Bank of Queensland Ltd,Financials,8778002,1296364,,0.12,Australia
Oceania,Australia,Bendigo Bank Ltd,Financials,95792916,14147006,,1.22,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,1081761191,159757975,,0.27,Australia
Oceania,Australia,Billabong International Ltd,Consumer Goods,18593135,2745894,,0.12,Australia
Oceania,Australia,BlueScope Steel Ltd,Basic Materials,45795285,6763195,,0.19,Australia
Oceania,Australia,Boral Ltd,Industrials,36884363,5447201,,0.16,Australia
Oceania,Australia,Brambles Industries Ltd,Industrials,146600921,21650496,,0.3,Australia
Oceania,Australia,Brickworks Ltd,Industrials,10098928,1491442,,0.12,Australia
Oceania,Australia,Burns Philp & Co Ltd,Consumer Goods,11080547,1636411,,0.1,Australia
