Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,ABC Learning Centres Ltd,Health Care,10271338,1695864,,0.16,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,1585605,261794,,0.04,Australia
Oceania,Australia,Alinta Ltd,Utilities,6232725,1029063,,0.06,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,72463312,11964157,,0.22,Australia
Oceania,Australia,Amcor Ltd,Industrials,169264550,27946662,,0.55,Australia
Oceania,Australia,AMP Ltd,Financials,57639836,9516706,,0.09,Australia
Oceania,Australia,Ansell Ltd,Health Care,65774906,10859859,,0.88,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,13293144,2194783,,0.11,Australia
Oceania,Australia,Aquarius Platinum Ltd,Oil & Gas,11249463,1857358,,0.57,Bermuda
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,44629353,7368592,,0.2,Australia
Oceania,Australia,Australand Property Group,Financials,3603316,594931,,0.05,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,542010,89489,,0.0,Australia
Oceania,Australia,Australian Gas Light Co Ltd,Utilities,127082105,20982070,,0.43,Australia
Oceania,Australia,Australian Pharmaceutical Industries Ltd,Consumer Services,1115289,184141,,0.03,Australia
Oceania,Australia,Australian Stock Exchange Ltd,Financials,868490,143393,,0.01,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,334664088,55255186,,0.19,Australia
Oceania,Australia,AWB Ltd,Consumer Goods,2450602,404610,,0.03,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,4908019,810345,,0.01,Australia
Oceania,Australia,Bendigo Bank Ltd,Financials,79154881,13068978,,1.22,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,639728357,105623253,,0.25,Australia
Oceania,Australia,Billabong International Ltd,Consumer Goods,5336416,881076,,0.05,Australia
Oceania,Australia,BlueScope Steel Ltd,Basic Materials,22314213,3684220,,0.08,Australia
Oceania,Australia,Boral Ltd,Industrials,14003758,2312110,,0.07,Australia
Oceania,Australia,Brambles Industries Ltd,Industrials,202067350,33362615,,0.63,Australia
Oceania,Australia,Brickworks Ltd,Industrials,3528852,582636,,0.05,Australia
Oceania,Australia,Burns Philp & Co Ltd,Consumer Goods,1247652,205995,,0.01,Australia
Oceania,Australia,Caltex Australia Ltd,Oil & Gas,4620854,762933,,0.03,Australia
Oceania,Australia,Centro Properties Group/New,Financials,675704,111563,,0.0,Australia
Oceania,Australia,CFS Gandel Retail Trust,Financials,802901,132564,,0.01,Australia
Oceania,Australia,Challenger Financial Services Group Ltd,Financials,114069,18834,,0.0,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,123359151,20367387,,0.45,Australia
Oceania,Australia,Cochlear Ltd,Health Care,3080452,508602,,0.05,Australia
Oceania,Australia,Cockatoo Ridge Wines Ltd,Financials,3114241,514181,,1.9,Australia
Oceania,Australia,Coles Myer Ltd,Consumer Services,108999904,17996583,,0.19,Australia
Oceania,Australia,Commonwealth Bank of Australia,Financials,222657844,36762238,,0.11,Australia
Oceania,Australia,Computershare Ltd,Financials,80657974,13317149,,0.53,Australia
Oceania,Australia,Corporate Express Australia Ltd,Industrials,1919034,316845,,0.04,Australia
Oceania,Australia,CSL Ltd/Australia,Health Care,100565938,16604081,,0.37,Australia
Oceania,Australia,CSR Ltd,Basic Materials,8299795,1370349,,0.07,Australia
Oceania,Australia,DCA Group Ltd,Health Care,16953340,2799105,,0.22,Australia
Oceania,Australia,Downer EDI Ltd,Industrials,2258013,372812,,0.03,Australia
Oceania,Australia,Envestra Ltd,Utilities,2076532,342849,,0.05,Australia
Oceania,Australia,Flight Centre Ltd,Consumer Services,4729316,780840,,0.06,Australia
