Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Government of Australia,Government,2305569344,286862258,
Europe,Austria,Autobahnen Und Schnellstrassen,Government Related,149054502,18545576,
Europe,Austria,Government of Austria,Government,2669492017,332142042,
Europe,Austria,Oesterreichische Kontrollbank,Corporate,225227846,28023173,
Europe,Belgium,Government of Belgium,Government,1390523085,173010885,
North America,Canada,Canada Mortgage And Housing Corp,Securitized,169265218,21060222,
North America,Canada,Export Development Corp,Government Related,557984444,69425228,
North America,Canada,Government of Canada,Government,2357704006,293348928,
Europe,Denmark,Danmarks Hypotekbank Og Fondsforvaltning,Securitized,7949492,989087,
Europe,Denmark,Government of Denmark,Government,1336610942,166303059,
Europe,Denmark,Storebæltforbindelsen A/S,Corporate,22889944,2848000,
Europe,Denmark,Øresundforbindelsen,Corporate,60371344,7511490,
Europe,Finland,Government of Finland,Government,1812323350,225491882,
Europe,France,Caisse D'Amortization De Dette Sociale (Cades),Government Related,303671430,37783237,
Europe,France,Caisse Francaise De Development,Government Related,85889091,10686444,
Europe,France,Government of France,Government,7306798917,909122445,
Europe,France,Natexis Banque,Corporate,153302357,19074100,
Europe,Germany,Bayerische Landesbank,Government Related,470798008,58577366,
Europe,Germany,Deutsche Ausgleichsbank,Corporate,86644210,10780397,
Europe,Germany,Deutsche Siedlungs Und Landesrentenbank,Corporate,201499290,25070832,
Europe,Germany,German Unity Fund,Government Related,701740496,87311563,
Europe,Germany,Government of Germany,Government,14420794138,1794255977,
Europe,Germany,Kreditanstalt Fur Wiederaufbau,Government Related,1288352269,160298645,
Europe,Germany,Landesbank Hessen-Thueringen Gz,Government Related,613711356,76358851,
Europe,Germany,Landesbank Rheinland-Pfalz,Government Related,100434470,12496201,
Europe,Germany,Landeskredietbank Baden Wurttemberg,Government Related,773051225,96184147,
Europe,Germany,Norddeutsche Landesbank Gz,Government Related,268786892,33442852,
Europe,Germany,Treuhandanstalt,Government Related,2764589895,343974257,
Europe,Germany,Westdeutsche Landesbank Gz,Government Related,521465651,64881507,
International,International Organisations,Asian Development Bank,Government Related,435473266,54182211,
International,International Organisations,Eurofima,Government Related,69267146,8618318,
International,International Organisations,The African Development Bank,Government Related,641868861,79862248,
International,International Organisations,The Council Of Europe,Government Related,56016097,6969603,
International,International Organisations,The European Investment Bank,Government Related,1390459730,173003002,
International,International Organisations,The Inter-American Development Bank,Government Related,371334124,46201927,
International,International Organisations,The Nordic Investment Bank,Government Related,493187281,61363072,
International,International Organisations,The World Bank,Government Related,1085601224,135072068,
Europe,Ireland,Government of Ireland,Government,529700470,65906095,
Europe,Italy,Government of Italy,Government,10030295140,1247983768,
Asia,Japan,Export-Import Bank Of Japan,Government Related,455594626,56685740,
Asia,Japan,Government of Japan,Government,24152373755,3005073129,
Asia,Japan,Japan Finance Corporation,Government Related,85764068,10670889,
Asia,Japan,Japan Highway Public Corporation,Government Related,510263110,63487671,
Asia,Japan,Kobe Municipality,Government Related,191304100,23802332,
Asia,Japan,The Japanese Development Bank,Government Related,202343158,25175827,
Asia,Japan,Tokyo Municipality,Government Related,168575080,20974354,
Asia,Japan,Trans-Tokyo Highway,Government Related,77111353,9594306,
Asia,Japan,Yokohama Municipality,Government Related,327229667,40714386,
Europe,Netherlands,Government of the Netherlands,Government,2973528057,369970644,
Oceania,New Zealand,Government of the New Zealand,Government,148139259,18431700,
Europe,Portugal,Government of Portugal,Government,732843077,91181391,
Europe,Spain,Government of Spain,Government,3448123589,429020503,
Europe,Spain,Instituto Credito Official,Government Related,150070219,18671953,
Europe,Sweden,Government of Sweden,Government,2274690650,283020287,
Europe,Switzerland,Government of Switzerland,Government,1587023939,197459804,
Europe,United Kingdom,Bg Transco Holdings Plc.,Government Related,13478636,1677031,
Europe,United Kingdom,Guaranty Export Finance Corporation,Government Related,151847408,18893073,
Europe,United Kingdom,United Kingdom Government,Government,5518850206,686663291,
North America,United States,Agency For International Development,Government Related,54985226,6841341,
North America,United States,Federal Home Loan Banks,Corporate,409688408,50974022,
North America,United States,Federal Home Loan Mortgage Association,Corporate/Securitized,2317120054,288299414,
North America,United States,Federal National Mortgage Association,Corporate/Securitized,157021078,19536789,
North America,United States,Government of United States of America,Government,23972146082,2982648943,
North America,United States,Tennessee Valley Authority,Government Related,887051119,110368178,
