Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Amcor Ltd,Industrials,8970224,1116088,,0.04,Australia
Oceania,Australia,AMP Diversified Property Trust,Financials,48572171,6043419,,0.05,Australia
Oceania,Australia,Ashton Mining,Basic Materials,636859,79239,,0.05,Australia
Oceania,Australia,Australian Foundation,Financials,4069542,506338,,0.04,Australia
Oceania,Australia,Australian Gas Light Company,Utilities,11480898,1428470,,0.07,Australia
Oceania,Australia,Australia & New Zealand Banking Group,Financials,54384436,6766590,,0.06,Australia
Oceania,Australia,Boral Ltd,Industrials,5468429,680390,,0.04,Australia
Oceania,Australia,Brambles Industries,Consumer Services,24409269,3037036,,0.05,Australia
Oceania,Australia,British American Tobacco Aus,Consumer Goods,3149440,391858,,0.04,Australia
Oceania,Australia,Broken Hill Prop,Basic Materials,106702405,13276067,,0.06,Australia
Oceania,Australia,BRL Hardy Limited,Consumer Goods,1591764,198050,,0.03,Australia
Oceania,Australia,Cable & Wireless Optus Ltd,Telecommunications,60131263,7481618,,0.06,Australia
Oceania,Australia,Caltex Australia,Oil & Gas,1285866,159989,,0.04,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,8401544,1045332,,0.04,Australia
Oceania,Australia,Coles Myer,Consumer Services,22430764,2790868,,0.05,Australia
Oceania,Australia,Colonial Limited,Financials,20515735,2552597,,0.06,Australia
Oceania,Australia,Comalco,Basic Materials,9900212,1231799,,0.04,Australia
Oceania,Australia,Commonwealth Bank Of Australia,Financials,71317284,8873399,,0.06,Australia
Oceania,Australia,CSL Ltd,Health Care,5611325,698169,,0.04,Australia
Oceania,Australia,CSR,Basic Materials,7548298,939170,,0.04,Australia
Oceania,Australia,Davids,Consumer Services,414537,51577,,0.03,Australia
Oceania,Australia,Email Ltd,Industrials,1488607,185215,,0.04,Australia
Oceania,Australia,Faulding(Fh)& Co,Consumer Goods,5720871,711799,,0.07,Australia
