Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Amcor Ltd,Industrials,13443000,1779853,,0.06,Australia
Oceania,Australia,AMP Ltd,Financials,65426848,8662515,,0.07,Australia
Oceania,Australia,Ashton Mining,Basic Materials,572884,75850,,0.05,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,5991332,793252,,0.07,Australia
Oceania,Australia,Australian Gas Light Company,Utilities,11404212,1509918,,0.07,Australia
Oceania,Australia,Australian Natl Inds Ltd,Basic Materials,865150,114546,,0.02,Australia
Oceania,Australia,Australia & New Zealand Banking Group,Financials,49939760,6612024,,0.07,Australia
Oceania,Australia,Boral Ltd,Industrials,8093597,1071592,,0.06,Australia
Oceania,Australia,Bougainville Copper,Financials,27926,3697,,0.01,Australia
Oceania,Australia,Brambles Industries,Consumer Services,26777486,3545339,,0.06,Australia
Oceania,Australia,Broken Hill Prop,Basic Materials,74159291,9818690,,0.06,Australia
Oceania,Australia,Burns Philp & Co Ltd,Consumer Goods,26669,3531,,0.01,Australia
Oceania,Australia,Cable & Wireless Optus Ltd,Telecommunications,29077381,3849845,,0.04,Australia
Oceania,Australia,Caltex Australia,Oil & Gas,3308890,438097,,0.07,Australia
Oceania,Australia,Capital Property Trust,Financials,891655,118055,,0.05,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,17173929,2273828,,0.05,Australia
Oceania,Australia,Coca-Cola Beverages Plc,Consumer Goods,2142838,283712,,0.02,United Kingdom
Oceania,Australia,Coles Myer,Consumer Services,29529556,3909713,,0.06,Australia
Oceania,Australia,Colonial Limited,Financials,12496297,1654510,,0.05,Australia
Oceania,Australia,Comalco,Basic Materials,10803495,1430383,,0.07,Australia
Oceania,Australia,Commonwealth Bank Of Australia,Financials,64418879,8529060,,0.06,Australia
Oceania,Australia,CSL Ltd,Health Care,4476267,592658,,0.05,Australia
Oceania,Australia,CSR Ltd,Industrials,12366314,1637300,,0.07,Australia
Oceania,Australia,Davids,Consumer Services,86218,11415,,0.01,Australia
Oceania,Australia,Email Ltd,Industrials,1989724,263439,,0.06,Australia
Oceania,Australia,Evans Deakin Industries Limited,Industrials,1509312,199833,,0.08,Australia
Oceania,Australia,FH Faulding & Co Limited,Consumer Services,3437295,455098,,0.06,Australia
Oceania,Australia,Foodland Associated,Telecommunications,3100294,410479,,0.06,Australia
Oceania,Australia,Fosters Brewing Group,Consumer Goods,22775430,3015467,,0.06,Australia
Oceania,Australia,Franked Income Fund,Financials,4241851,561621,,0.06,Australia
Oceania,Australia,Gandel Retail Trust,Financials,3727986,493585,,0.06,Australia
Oceania,Australia,General Property Trust,Financials,12638758,1673372,,0.07,Australia
Oceania,Australia,Gio Australia Hldgs Limited,Financials,9411831,1246126,,0.06,Australia
Oceania,Australia,Goodman Fielder Wattie,Health Care,6451041,854118,,0.07,Australia
Oceania,Australia,Harvey Norman Holdings Ltd,Consumer Services,5974425,791014,,0.04,Australia
Oceania,Australia,Howard Smith,Consumer Services,6315809,836213,,0.07,Australia
Oceania,Australia,James Hardie Industries NV,Industrials,4196750,555650,,0.07,Netherlands
Oceania,Australia,John Fairfax Holdings Ltd,Consumer Services,2996310,396711,,0.02,Australia
Oceania,Australia,Kidston Gold Mines,Basic Materials,24066,3186,,0.01,Australia
Oceania,Australia,Lend Lease Corp,Industrials,33159776,4390354,,0.07,Australia
Oceania,Australia,Mayne Nickless Ltd,Consumer Services,6420412,850063,,0.06,Australia
Oceania,Australia,Mim Holdings Ltd,Oil & Gas,3679387,487151,,0.07,Australia
Oceania,Australia,National Australia Bank,Financials,107763014,14267823,,0.06,Australia
Oceania,Australia,National Foods Ltd,Consumer Goods,1932491,255862,,0.05,Australia
Oceania,Australia,National Mutual Hldg,Financials,15493190,2051298,,0.07,Australia
Oceania,Australia,Newcrest Mining Ltd,Basic Materials,1579687,209151,,0.06,Australia
Oceania,Australia,News Corp,Consumer Services,43567263,5768306,,0.02,United States
Oceania,Australia,Normandy Mining,Oil & Gas,8005574,1059938,,0.07,Australia
Oceania,Australia,North Ltd,Basic Materials,6104570,808245,,0.07,Australia
Oceania,Australia,Opsm Protector Ltd,Health Care,1150620,152342,,0.06,Australia
Oceania,Australia,Orbital Engine Corp Ltd,Industrials,467398,61883,,0.05,Australia
Oceania,Australia,Orica Ltd,Basic Materials,7020301,929488,,0.07,Australia
Oceania,Australia,Pacific Dunlop Ltd,Industrials,8349029,1105411,,0.06,Australia
Oceania,Australia,Pasminco Ltd,Oil & Gas,4300734,569417,,0.07,Australia
Oceania,Australia,Pioneer International,Industrials,9430115,1248547,,0.08,Australia
Oceania,Australia,Publishing & Broadcasting Ltd,Consumer Services,1952482,258509,,0.01,Australia
Oceania,Australia,Qantas Airways Ltd,Consumer Services,4576560,605937,,0.02,Australia
Oceania,Australia,Qbe Insurance Group Ltd,Financials,7844221,1038575,,0.07,Australia
Oceania,Australia,QCT Resources,Basic Materials,1553537,205688,,0.05,Australia
Oceania,Australia,RGC Ltd,Basic Materials,79991,10591,,0.0,Australia
Oceania,Australia,Rio Tinto Ltd,Basic Materials,36910608,4886964,,0.07,Australia
Oceania,Australia,Rothmans Holdings Ltd,Consumer Goods,4008525,530729,,0.06,Australia
Oceania,Australia,Santos Ltd,Oil & Gas,8151192,1079218,,0.06,Australia
Oceania,Australia,Schroders Property Fund Securities,Financials,2554252,338183,,0.05,Australia
Oceania,Australia,Seven Network Ltd,Consumer Services,770393,102000,,0.01,Australia
Oceania,Australia,Sims Group Ltd,Industrials,1154074,152799,,0.06,Australia
Oceania,Australia,Sons Of Gwalia Ltd,Basic Materials,1238030,163915,,0.05,Australia
Oceania,Australia,Southcorp Ltd,Consumer Goods,10070072,1333278,,0.07,Australia
Oceania,Australia,Stockland Trust Group,Financials,21046,2786,,0.02,Australia
Oceania,Australia,St George Bank Ltd,Financials,14186671,1878315,,0.06,Australia
Oceania,Australia,Tabcorp Holdings Ltd,Consumer Services,2735741,362212,,0.02,Australia
Oceania,Australia,Telstra Corp Ltd,Telecommunications,36378636,4816531,,0.02,Australia
Oceania,Australia,Wesfarmers Ltd,Consumer Services,10342382,1369331,,0.06,Australia
Oceania,Australia,Westfield Holdings Ltd,Financials,12886708,1706200,,0.06,Australia
Oceania,Australia,Westfield Trust,Financials,13707891,1814925,,0.06,Australia
Oceania,Australia,Westpac Banking Corp,Financials,61572936,8152257,,0.06,Australia
Oceania,Australia,Westralian Sands,Oil & Gas,1294700,171418,,0.03,Australia
Oceania,Australia,WMC Ltd,Oil & Gas,16859188,2232156,,0.07,Australia
Oceania,Australia,Woodside Petroleum Ltd,Oil & Gas,14597050,1932649,,0.06,Australia
Oceania,Australia,Woolworths Ltd,Consumer Services,18979117,2512835,,0.06,Australia
Europe,Austria,Austrian Airlines,Consumer Services,4218973,558592,,0.07,Austria
Europe,Austria,Austria Tabakwerke,Consumer Goods,3746681,496061,,0.03,Austria
Europe,Austria,Bank Austria,Financials,21435590,2838072,,0.08,Austria
Europe,Austria,Boehler-Uddeholm,Basic Materials,2331032,308629,,0.06,Austria
Europe,Austria,Brau Union AG,Consumer Goods,2656997,351786,,0.07,Austria
Europe,Austria,BWT AG,Industrials,1351840,178984,,0.06,Austria
Europe,Austria,Erste Bank Der Oesterreichischen Sparkassen AG,Financials,2737570,362454,,0.02,Austria
Europe,Austria,EVN AG,Utilities,9109185,1206056,,0.07,Austria
Europe,Austria,Flughafen Wien AG,Industrials,3448691,456607,,0.07,Austria
Europe,Austria,Lenzing AG,Basic Materials,825850,109343,,0.05,Austria
Europe,Austria,Leykam-Muerztaler,Basic Materials,833466,110351,,0.05,Austria
Europe,Austria,Mayr-Melnhof Karton AG,Basic Materials,2558197,338705,,0.07,Austria
Europe,Austria,Oesterreichische Brau-Ag,Consumer Goods,2221310,294101,,0.07,Austria
Europe,Austria,Oesterreichische El Wirtsch,Utilities,10509294,1391431,,0.06,Austria
Europe,Austria,OMV AG,Oil & Gas,32768106,4338497,,0.17,Austria
Europe,Austria,RHI AG,Industrials,1632721,216172,,0.07,Austria
Europe,Austria,Va Technologie A,Industrials,6625576,877226,,0.09,Austria
Europe,Austria,Voest Alpine Stahl AG,Basic Materials,4717968,624659,,0.08,Austria
Europe,Austria,Wienerberger Baustoffindustrie AG,Industrials,9213970,1219930,,0.08,Austria
Europe,Austria,Wolford,Consumer Goods,1235472,163576,,0.08,Austria
Europe,Belgium,Almanij(Algem Maatsch Voor Nijv),Financials,74481754,9861384,,0.06,Belgium
Europe,Belgium,Barco,Industrials,18051301,2389992,,0.08,Belgium
Europe,Belgium,Bekaert SA,Industrials,4410612,583965,,0.06,Belgium
Europe,Belgium,Cie Belge De Pari Cip,Oil & Gas,20851860,2760786,,0.06,Belgium
Europe,Belgium,Cie Natle A Portefeuille,Financials,11360698,1504156,,0.08,Belgium
Europe,Belgium,Cimenteries C.B.R. Cementbedrijven,Industrials,11641073,1541278,,0.07,Belgium
Europe,Belgium,Cobepa(Cie Belge De Part Paribas),Financials,2870880,380105,,0.01,Belgium
Europe,Belgium,Colruyt SA,Consumer Services,16063994,2126873,,0.07,Belgium
Europe,Belgium,Credit Communal Holding Dexia,Financials,29968069,3967772,,0.07,Belgium
Europe,Belgium,Delhaize Freres Et Cie(Le Lion) Sa Npv,Consumer Services,22988615,3043693,,0.06,Belgium
Europe,Belgium,Electrabel,Utilities,112468893,14890881,,0.07,Belgium
Europe,Belgium,Electrafina,Financials,24764658,3278841,,0.07,Belgium
Europe,Belgium,Fortis,Financials,135991425,18005265,,0.07,Netherlands
Europe,Belgium,Fortis Ag (Warrant),Financials,312821,41418,,0.0,Belgium
Europe,Belgium,Gevaert Photo-Producten,Financials,8816397,1167291,,0.06,Belgium
Europe,Belgium,Groupe Bruxelles Lambert,Financials,24583242,3254821,,0.07,Belgium
Europe,Belgium,G.B.-Inno-Bm,Telecommunications,7469917,989017,,0.06,Belgium
Europe,Belgium,Kbc Bancassurance Holding,Financials,5030,666,,0.05,Belgium
Europe,Belgium,Kredietbank,Financials,103936275,13761163,,0.06,Belgium
Europe,Belgium,Petrofina SA,Oil & Gas,51442006,6810922,,0.06,Belgium
Europe,Belgium,Solvay,Basic Materials,31032559,4108711,,0.07,Belgium
Europe,Belgium,Telinfo,Telecommunications,25053514,3317085,,0.43,Belgium
Europe,Belgium,Tractebel Cap,Utilities,78022875,10330229,,0.07,Belgium
Europe,Belgium,UCB,Health Care,42268672,5596372,,0.07,Belgium
Europe,Belgium,Union Miniere,Basic Materials,4198454,555875,,0.06,Belgium
North America,Canada,Abitibi-Consolidated Corp,Basic Materials,3254168,430852,,0.02,Canada
