Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,ANZ Banking Group,Corporate,109672000,16485089,
Oceania,Australia,BHP Billiton Ltd,Corporate,113227000,17019450,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,57784000,8685666,
Oceania,Australia,Fosters Brewing Group,Corporate,75901000,11408880,
Oceania,Australia,Government of Australia,Government,812508000,122130231,
Oceania,Australia,Mayne Group Ltd,Corporate,35897000,5395773,
Oceania,Australia,National Australia Bank,Corporate,563703000,84731692,
Oceania,Australia,Principal Financial Group,Corporate,169759000,25516925,
Oceania,Australia,Qantas Airways,Corporate,67798000,10190897,
Oceania,Australia,Telstra Corporation Limited,Corporate,271822000,40858285,
Europe,Austria,Asfinag,Government Related,415136000,62400192,
Europe,Austria,Bank Austria AG,Corporate,242275000,36416997,
Europe,Austria,Bank Fuer Arbeit & Wirtschaft,Corporate,460872000,69274892,
Europe,Austria,Bundes Immobiliengesell,Corporate,67351000,10123707,
Europe,Austria,Erste Bank Der Oesterreichischen Sparkassen,Corporate,85662000,12876082,
Europe,Austria,Government of Austria,Government,10952642000,1646320647,
Europe,Austria,Hypo Alpe-Adria Bank AG,Corporate,110564000,16619168,
Europe,Austria,Kommunalkredit AG,Corporate,912295000,137129479,
Europe,Austria,Pfandbrief Landeshypotheken,Government Related,533962000,80261243,
Europe,Austria,Sappi Papier Holding AG,Corporate,50723000,7624309,
Europe,Austria,Telekom Austria,Corporate,103336000,15532708,
Europe,Belgium,Dexia Credit Local,Corporate,46135000,6934674,
Europe,Belgium,Government of Belgium,Government,2362223000,355072000,
Europe,Belgium,Solvay SA,Corporate,164154000,24674423,
Latin America,Brazil,Brazil Development Fund,Government Related,14604000,2195166,
Latin America,Brazil,Cia Barsileira de Bebida,Corporate,50098000,7530363,
Latin America,Brazil,Petrobras Intl Finance,Corporate,108354000,16286977,
Latin America,Brazil,Tele Norte Leste Participacoes,Corporate,32563000,4894631,
North America,Canada,Abitibi-Consolidated,Corporate,34609000,5202171,
North America,Canada,Alberta Energy Co Ltd,Corporate,170482000,25625601,
North America,Canada,Alcan Inc,Corporate,130672000,19641655,
North America,Canada,Barrick Gold Corp,Corporate,37917000,5699405,
North America,Canada,BCE Inc,Corporate,58686000,8821248,
North America,Canada,Bombardier Inc,Corporate,93814000,14101431,
North America,Canada,Brascan Corp,Corporate,37311000,5608315,
North America,Canada,British Columbia,Government Related,70875000,10653409,
North America,Canada,Canada Mortage & Housing,Corporate,578257000,86919342,
North America,Canada,Canadian National Railway,Corporate,75571000,11359277,
North America,Canada,Canadian Natural Resources,Corporate,39046000,5869108,
North America,Canada,Canadian Pacific Railway,Corporate,237155000,35647397,
North America,Canada,Domtar Inc,Corporate,78278000,11766174,
North America,Canada,Export Development Corporation,Government Related,434678000,65337602,
North America,Canada,Government of Canada,Government,6271744000,942722463,
North America,Canada,Greater Toronto Airport,Corporate,110744000,16646224,
North America,Canada,Hydro-Quebec,Corporate,85140000,12797619,
North America,Canada,Inco Ltd,Corporate,44305000,6659602,
North America,Canada,Manufacturers Life Insurance,Corporate,127866000,19219877,
North America,Canada,Nexen Inc,Corporate,139456000,20962001,
North America,Canada,Noranda Inc,Corporate,38509000,5788390,
North America,Canada,Ontario Hydro - Global,Corporate,79284000,11917388,
North America,Canada,Ontario Prov Canada-Global,Government Related,742873000,111663209,
North America,Canada,Petro-Canada,Corporate,176878000,26587001,
North America,Canada,Placer Dome Inc,Corporate,20844000,3133117,
North America,Canada,Potash Corp Saskatchewan,Corporate,40960000,6156806,
North America,Canada,Province of Alberta,Government Related,71068000,10682419,
North America,Canada,Province of Manitoba,Government Related,81479000,12247324,
North America,Canada,Province of Newfoundland,Government Related,35587000,5349176,
North America,Canada,Province of Nova Scotia,Government Related,73678000,11074735,
North America,Canada,Province of Quebec,Government Related,587690000,88337241,
North America,Canada,Royal Bank of Canada,Corporate/Securitized,33135000,4980610,
North America,Canada,Suncor Energy Inc,Corporate,46654000,7012686,
North America,Canada,Talisman Energy,Corporate,152635000,22942971,
North America,Canada,Trans-Canada Pipelines,Corporate,38528000,5791246,
Latin America,Chile,Celulosa Arauco,Corporate,55635000,8362644,
Latin America,Chile,Corp Nacional Del Cobre - Codelco Inc,Corporate,78657000,11823142,
Latin America,Chile,Government of Chile,Government,175684000,26407528,
Asia,China,Cnooc Ltd,Government Related,37384000,5619288,
Asia,China,Government of China,Government,236315000,35521134,
Europe,Croatia,Government of Croatia,Government,48119000,7232894,
Europe,Czech Republic,Czech Export Bank,Government Related,374082000,56229257,
Europe,Denmark,Brfkredit A/S,Corporate,118475000,17808291,
Europe,Denmark,Den danske Bank,Corporate,295254000,44380411,
Europe,Denmark,Government of Denmark,Government,10107793000,1519329155,
Europe,Denmark,ISS Global A/S,Corporate,102546000,15413961,
Europe,Denmark,Nordea Kredit Realkredit,Corporate,504708000,75863997,
Europe,Denmark,Nykredit,Securitized,979919000,147294222,
Europe,Denmark,Realkredit Danmark,Securitized,1397006000,209987674,
Europe,Denmark,Tele Danmark AS (TDC AS),Corporate,118922000,17875481,
Europe,Finland,Government of Finland,Government,887035000,133332582,
Europe,Finland,Municipality Finance Plc,Government Related,94347000,14181548,
Europe,Finland,Stora Enso Oyj-Global,Corporate,77699000,11679143,
Europe,Finland,UPM-Kymmene Corp,Corporate,114234000,17170815,
Europe,France,Accor SA,Corporate,60648000,9116162,
Europe,France,Agence Francaise De Developpement,Government Related,58966000,8863336,
Europe,France,Auchan SA,Corporate,58853000,8846350,
Europe,France,Aventis SA,Corporate,353565000,53145292,
Europe,France,Axa SA,Corporate,513196000,77139851,
Europe,France,Banque Federative Du Credit Mutuel,Corporate,75578000,11360329,
Europe,France,BNP Paribas,Corporate,705736000,106081049,
Europe,France,Bouygues SA,Corporate,84152000,12649110,
Europe,France,Caisse Centrale du Credit Immobilier de France,Corporate,188999000,28408941,
Europe,France,Caisse D’amortissement de La Dette Sociale,Government Related,549987000,82670004,
Europe,France,Caisse Nationale des Autoroutes,Corporate,203743000,30625150,
