Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Latin America,Argentina,Petrobras Argentina SA,Government Related,24020592,4132575,
Oceania,Australia,Amcor Ltd/Australia,Corporate,52499457,9032165,
Oceania,Australia,Asciano Finance Ltd,Corporate,27212141,4681659,
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate,570883121,98216451,
Oceania,Australia,BHP Billiton Finance Ltd,Corporate,180724678,31092418,
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate,84701134,14572238,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,742767837,127788015,
Oceania,Australia,Crusade Euro Trust,Securitized,296862676,51073148,
Oceania,Australia,Crusade Global Trust,Securitized,533811974,91838619,
Oceania,Australia,FBG Finance Ltd,Corporate,85685426,14741579,
Oceania,Australia,Government of Australia,Government,4156089961,715026230,
Oceania,Australia,Incitec Pivot Ltd,Corporate,34083047,5863750,
Oceania,Australia,Insurance Australia Group Ltd,Corporate,30623905,5268629,
Oceania,Australia,Macquarie Bank Ltd,Corporate,5836559,1004139,
Oceania,Australia,Macquarie Group Ltd,Corporate,98134759,16883399,
Oceania,Australia,Medallion Trust,Securitized,211461775,36380520,
Oceania,Australia,National Australia Bank Ltd,Corporate/Securitized,2011034717,345984467,
Oceania,Australia,National RMBS Trust,Securitized,84276800,14499234,
Oceania,Australia,Qantas Airways Ltd,Corporate,96124241,16537504,
Oceania,Australia,QBE Insurance Group Ltd,Corporate,82388530,14174371,
Oceania,Australia,SPI Electricity & Gas Australia Holdings Pty Ltd,Corporate,117665956,20243605,
Oceania,Australia,Stockland Finance Pty Ltd,Corporate,23946545,4119836,
Oceania,Australia,Suncorp Group Ltd,Corporate,248904023,42822197,
Oceania,Australia,Swan,Securitized,459813002,79107613,
Oceania,Australia,Telstra Corp Ltd,Corporate,470804530,80998629,
Oceania,Australia,WCI Finance LLC / WEA Finance LLC,Corporate,22107954,3803519,
Oceania,Australia,Westpac Banking Corp,Corporate,1161282026,199790456,
Oceania,Australia,Westpac Securitisation Trust,Securitized,193886861,33356879,
Oceania,Australia,Woodside Finance Ltd,Corporate,43132222,7420597,
Oceania,Australia,Woolworths Ltd,Corporate,46075974,7927049,
Oceania,Australia,WT Finance Aust Pty Ltd / Westfield Capital / WEA Finance LLC,Corporate,93122977,16021157,
Oceania,Australia,WT Finance Aust Pty Ltd / Westfield Europe Finance PLC / WEA Finance LLC,Corporate,119523834,20563240,
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse,Corporate,40966008,7047915,
Europe,Austria,Erste Group Bank AG,Securitized,398821144,68614390,
Europe,Austria,Government of Austria,Government,11223791190,1930974828,
Europe,Austria,Hypo Alpe-Adria-Bank International AG,Government Related,1065201066,183260398,
Europe,Austria,KA Finanz AG,Government Related,541691035,93194156,
Europe,Austria,KIG - Krankenanstalten Immobiliengesellschaft mbH,Government Related,87133097,14990640,
Europe,Austria,Kommunalkredit Austria AG,Securitized,440071953,75711304,
Europe,Austria,OeBB Infrastruktur AG,Government Related,556622415,95762996,
Europe,Austria,Oesterreichische Kontrollbank AG,Government Related,1229693632,211560195,
Europe,Austria,Oesterreichische Volksbanken AG,Government Related,71330652,12271940,
Europe,Austria,Pfandbriefstelle der Oesterreichischen Landes-Hypothekenbanken,Government Related,484811564,83408441,
Europe,Austria,Raiffeisen Bank International AG,Corporate,119380045,20538502,
Europe,Austria,Raiffeisen Malta Bank PLC,Corporate,11110725,1911523,
Europe,Austria,Telekom Finanzmanagement GmbH,Corporate,134440178,23129493,
Europe,Austria,UniCredit Bank Austria AG,Corporate,206285426,35489966,
Latin America,Bahamas,Government of the Bahamas,Government,30517233,5250277,
Middle East,Bahrain,Government of Bahrain,Government,29999765,5161250,
Europe,Belgium,Anheuser-Busch InBev NV,Corporate,367714562,63262720,
Europe,Belgium,Belgacom SA,Government Related,80066546,13774890,
Europe,Belgium,Delhaize Group SA,Corporate,16035306,2758762,
Europe,Belgium,Elia System Operator SA/NV,Corporate,187112964,32191478,
Europe,Belgium,Flemish Community,Government Related,325020158,55917446,
Europe,Belgium,Fortis Bank SA/NV,Corporate,386729146,66534047,
Europe,Belgium,Government of Belgium,Government,14229283850,2448048834,
Europe,Belgium,Home Loan Invest,Securitized,378559575,65128529,
Europe,Belgium,SNCB Holding,Government Related,50141705,8626530,
Europe,Belgium,Solvay SA,Corporate,25791459,4437240,
North America,Bermuda,Allied World Assurance Co Holdings Ltd,Corporate,97148105,16713652,
North America,Bermuda,Catlin Insurance Co Ltd,Corporate,26523033,4563103,
North America,Bermuda,Fidelity International Ltd,Corporate,27006510,4646281,
North America,Bermuda,Government of Bermuda,Government,12281323,2112916,
North America,Bermuda,Holcim GB Finance Ltd,Corporate,58053439,9987688,
North America,Bermuda,Ingersoll-Rand Global Holding Co Ltd,Corporate,35251162,6064716,
North America,Bermuda,Noble Group Ltd,Corporate,32282988,5554063,
North America,Bermuda,Qtel International Finance Ltd,Government Related,44753506,7699528,
North America,Bermuda,Tyco International Ltd,Corporate,14909752,2565119,
North America,Bermuda,Weatherford International Ltd Bermuda,Corporate,89656339,15424747,
Latin America,Brazil,Banco Bradesco SA,Corporate,23721660,4081146,
Latin America,Brazil,Banco do Brasil SA,Government Related,60156012,10349421,
Latin America,Brazil,Banco Nacional de Desenvolvimento Economico e Social,Government Related,78375237,13483912,
Latin America,Brazil,Brazilian Government International Bond,Government Related,1711028939,294370570,
Latin America,Brazil,Centrais Eletricas Brasileiras SA,Government Related,33673145,5793229,
Latin America,Brazil,Cia de Bebidas das Americas,Corporate,78917131,13577141,
