Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Abacus Property Group,Financials,33311303,5985590,0.6,0.6,Australia
Oceania,Australia,Acrux Ltd,Health Care,100920243,18134000,3.68,3.68,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,49928081,8971399,0.43,0.43,Australia
Oceania,Australia,AGL Energy Ltd,Utilities,417085825,74944670,0.85,0.85,Australia
Oceania,Australia,AJ Lucas Group Ltd,Industrials,2030437,364842,0.21,0.21,Australia
Oceania,Australia,Alliance Resources Ltd,Basic Materials,651465,117059,0.17,0.17,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,238923532,42931321,1.88,1.88,Australia
Oceania,Australia,ALS Ltd/Queensland,Consumer Goods,138958495,24968958,0.65,0.65,Australia
Oceania,Australia,Amcor Ltd/Australia,Industrials,523861555,94130822,0.93,0.93,Australia
Oceania,Australia,Ampella Mining Ltd,Basic Materials,2327111,418150,0.54,0.54,Australia
Oceania,Australia,AMP Ltd,Financials,724074891,130106445,0.89,0.89,Australia
Oceania,Australia,Ansell Ltd,Health Care,67631724,12152504,0.58,0.58,Australia
Oceania,Australia,APA Group,Oil & Gas,218674578,39292858,0.83,0.83,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,23326472,4191451,2.44,2.44,Australia
Oceania,Australia,Aquila Resources Ltd,Basic Materials,13379923,2404191,0.22,0.22,Australia
Oceania,Australia,Arafura Resources Ltd,Basic Materials,2219532,398820,0.48,0.48,Australia
Oceania,Australia,Ardent Leisure Group,Financials,25116999,4513184,0.76,0.76,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,197415102,35472818,1.97,1.97,Australia
Oceania,Australia,Arrium Ltd,Basic Materials,50844022,9135982,0.72,0.72,Australia
Oceania,Australia,ARB Corp Ltd,Consumer Services,23583049,4237554,0.52,0.52,Australia
Oceania,Australia,Asciano Ltd,Industrials,366595014,65872156,1.4,1.4,Australia
Oceania,Australia,Aspen Group,Financials,11848169,2128955,0.76,0.76,Australia
Oceania,Australia,Astro Japan Property Group,Financials,17147904,3081246,1.73,1.73,Australia
