Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Latin America,Argentina,Petrobras Energia SA,Corporate,22583678,3909375,
Oceania,Australia,Amcor Ltd/Australia,Corporate,56306574,9747018,
Oceania,Australia,ANZ Capital Trust II,Corporate,11524125,1994898,
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate,418358417,72420443,
Oceania,Australia,BHP Billiton Finance Ltd,Corporate,241938771,41881106,
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate,137265035,23761431,
Oceania,Australia,CBA Capital Trust II,Corporate,24486045,4238687,
Oceania,Australia,Clydesdale Bank PLC,Corporate,177097734,30656719,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,610290268,105645040,
Oceania,Australia,Crusade Euro Trust,Securitized,401010089,69417340,
Oceania,Australia,Crusade Global Trust,Securitized,693589176,120064599,
Oceania,Australia,FBG Finance Ltd,Corporate,80428563,13922684,
Oceania,Australia,Foster's Finance Corp,Corporate,36243310,6273942,
Oceania,Australia,Government of Australia,Government,2591987093,448689083,
Oceania,Australia,Insurance Australia Group Ltd,Corporate,29663982,5135020,
Oceania,Australia,Macquarie Group Ltd,Corporate,45923444,7949634,
Oceania,Australia,Medallion Trust,Securitized,283461347,49068922,
Oceania,Australia,National Australia Bank Ltd,Corporate/Securitized,1359598384,235354934,
Oceania,Australia,National Capital Trust I,Securitized,35782942,6194250,
Oceania,Australia,National Capital Trust II,Securitized,28149195,4872801,
Oceania,Australia,National RMBS Trust,Securitized,117586621,20354975,
Oceania,Australia,Puma Finance Ltd,Corporate,8237582,1425977,
Oceania,Australia,Qantas Airways Ltd,Corporate,92402519,15995451,
Oceania,Australia,QBE Capital Funding II LP,Corporate,14915654,2581993,
Oceania,Australia,QBE Capital Funding LP,Corporate,32705591,5661541,
Oceania,Australia,QBE Insurance Group Ltd,Corporate,48614572,8415485,
Oceania,Australia,SingTel Optus Finance Pty Ltd,Corporate,53530088,9266391,
Oceania,Australia,SPI Electricity & Gas Australia Holdings Pty Ltd,Corporate,113199356,19595512,
Oceania,Australia,Stockland Finance Pty Ltd,Corporate,22680427,3926123,
Oceania,Australia,St George Bank Ltd,Corporate,265265599,45919125,
Oceania,Australia,Suncorp Insurance Funding 2007 Ltd,Corporate,40675783,7041231,
Oceania,Australia,Suncorp-Metway Ltd,Corporate,202062273,34978236,
Oceania,Australia,Swan,Securitized,633065924,109587648,
Oceania,Australia,Telstra Corp Ltd,Corporate,500793438,86690458,
Oceania,Australia,WCI Finance LLC / WEA Finance LLC,Corporate,16611376,2875532,
Oceania,Australia,Westpac Banking Corp,Corporate,686925778,118911123,
Oceania,Australia,Westpac Securitisation Trust,Securitized,273979463,47427549,
Oceania,Australia,WEA Finance LLC / WT Finance Aust Pty Ltd,Corporate,31662942,5481052,
Oceania,Australia,Woodside Finance Ltd,Corporate,41007415,7098639,
Oceania,Australia,WT Finance Aust Pty Ltd / Westfield Capital / WEA Finance LLC,Corporate,209336324,36237419,
Oceania,Australia,WT Finance Aust Pty Ltd / Westfield Europe Finance PLC / WEA Finance LLC,Corporate,120236172,20813629,
Europe,Austria,Asfinag,Government Related,319186606,55253186,
Europe,Austria,BAWAG P.S.K. Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse,Corporate,169428782,29329176,
Europe,Austria,Erste Group Bank AG,Securitized,421427546,72951729,
Europe,Austria,Government of Austria,Government,8252782100,1428607897,
Europe,Austria,Hypo Alpe-Adria-Bank International AG,Government Related,1116701850,193308034,
Europe,Austria,KA Finanz AG,Government Related,431597984,74712295,
Europe,Austria,KIG - Krankenanstalten Immobiliengesellschaft mbH,Government Related,52311845,9055506,
Europe,Austria,Kommunalkredit Austria AG,Securitized,1182951348,204776234,
Europe,Austria,OeBB Infrastruktur AG,Government Related,493351147,85402151,
Europe,Austria,Oesterreichische Kontrollbank AG,Government Related,1184890759,205111958,
Europe,Austria,Oesterreichische Volksbanken AG,Government Related,75288610,13032927,
Europe,Austria,Pfandbriefstelle der Oesterreichischen Landes-Hypothekenbanken,Government Related,524391945,90775506,
Europe,Austria,Raiffeisen Zentralbank Oesterreich AG,Corporate,352295530,60984547,
Europe,Austria,RZB Finance Jersey IV Ltd,Corporate,35986551,6229496,
Europe,Austria,Telekom Finanzmanagement GmbH,Corporate,199744761,34577060,
Europe,Austria,UniCredit Bank Austria AG,Corporate,201758605,34925669,
Europe,Austria,Verbund International Finance BV,Corporate,137071666,23727958,
Latin America,Bahamas,Government of the Bahamas,Government,28103128,4864826,
Europe,Belgium,Anheuser-Busch InBev NV,Corporate,328975224,56947657,
Europe,Belgium,ASR Nederland NV,Corporate,25008256,4329085,
Europe,Belgium,Belgacom SA,Government Related,86096311,14903807,
