Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Amcor Ltd,Corporate,115273340,19032368,
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate,107022884,17670164,
Oceania,Australia,BHP Billiton Ltd,Corporate,112164663,18519105,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,51156009,8446185,
Oceania,Australia,Foster's Group Ltd,Corporate,68551871,11318353,
Oceania,Australia,Government of Australia,Government,1124258215,185622239,
Oceania,Australia,Mantis Reef Ltd II,Corporate,20099326,3318528,
Oceania,Australia,Mayne Group Ltd.,Corporate,31735243,5239692,
Oceania,Australia,National Australia Bank,Corporate,561659492,92733583,
Oceania,Australia,Puma Finance Limited,Corporate,58406362,9643265,
Oceania,Australia,Qantas Airways Ltd,Corporate,64834918,10704661,
Oceania,Australia,Queensland Treasury Corp,Government Related,3134549,517534,
Oceania,Australia,Telstra Corp Ltd,Corporate,264072855,43600121,
Oceania,Australia,Westfield Group,Corporate,121280537,20024194,
Europe,Austria,Asfinag,Government Related,125360602,20697839,
Europe,Austria,Bank Austria Creditanstalt AG,Corporate,223158218,36844853,
Europe,Austria,Bank Fuer Arbeit und Wirtschaft AG,Corporate,479443859,79159255,
Europe,Austria,Bundesimmobiliengesellshaft mbH,Corporate,69530729,11479969,
Europe,Austria,Erste Bank Der Oesterreichischen Sparkassen AG,Corporate,118483189,19562334,
Europe,Austria,Government of Austria,Government,13025933368,2150665109,
Europe,Austria,Hypo Alpe-Adria-Bank International AG,Corporate,114035862,18828052,
Europe,Austria,Kommunalkredit Austria AG,Corporate,268377225,44310800,
Europe,Austria,Pfandbriefstelle der Oesterreichischen Landes-Hypothekenbanken,Government Related,541881731,89468148,
Europe,Austria,Sappi Papier Holding AG,Corporate,46738531,7716831,
Europe,Austria,Telekom Austria AG,Corporate,124871805,20617136,
Europe,Belgium,Dexia Credit Local,Corporate,45509586,7513924,
Europe,Belgium,Elia System Operator SA,Corporate,132723169,21913446,
Europe,Belgium,Government of Belgium,Government,2112900985,348853499,
Europe,Belgium,Societe Nationale de Chemins de Fer Belges,Corporate,184800678,30511777,
Europe,Belgium,Solvay SA,Corporate,169458740,27978724,
North America,Bermuda,Axis Capital Holdings Ltd,Corporate,73106885,12070415,
Latin America,Brazil,Banco Bradesco SA,Corporate,23499365,3879896,
Latin America,Brazil,Brazil Development Fund,Government Related,27496114,4539785,
Latin America,Brazil,Cia Brasileira de Bebidas,Corporate,79379424,13106052,
Latin America,Brazil,Petroleo Brasileiro SA,Corporate,181106373,29901823,
Latin America,Brazil,Tele Norte Leste Participacoes SA,Corporate,31007780,5119583,
North America,Canada,Abitibi-Consolidated Inc,Corporate,37588030,6206025,
North America,Canada,Alcan Inc,Corporate,193172740,31894058,
North America,Canada,Barrick Gold Corp,Corporate,33228796,5486287,
North America,Canada,BCE Inc,Corporate,57805792,9544107,
North America,Canada,Bombardier Inc.,Corporate,86462456,14275506,
North America,Canada,Brascan Corporation,Corporate,34446934,5687410,
North America,Canada,Canada Mortgage & Housing Corp,Corporate,6107390960,1008369403,
North America,Canada,Canadian National Railway Co,Corporate,70027360,11561966,
North America,Canada,Canadian Natural Resources Ltd,Corporate,157977987,26083178,
North America,Canada,Canadian Oil Sands Investments Inc,Corporate,21792724,3598118,
North America,Canada,Canadian Pacific Railway Co,Corporate,223593624,36916741,
North America,Canada,Canadian Wheat Board,Government Related,253390289,41836361,
North America,Canada,Domtar Inc,Corporate,70561705,11650190,
North America,Canada,EnCana Corp,Corporate,165680179,27354860,
North America,Canada,Export Development Corp,Government Related,383305819,63286248,
North America,Canada,Government of Canada,Government,6719521647,1109436103,
North America,Canada,Greater Toronto Airport Authority,Corporate,175916310,29044911,
North America,Canada,Hydro Quebec,Corporate,409171919,67556907,
North America,Canada,Inco Ltd.,Corporate,43821949,7235285,
North America,Canada,Manufacturers Life Insurance Co,Corporate,118971615,19642976,
North America,Canada,Nexen Inc,Corporate,128705818,21250156,
North America,Canada,Noranda Inc,Corporate,35392346,5843503,
North America,Canada,Ontario Electricity Financial Corporation,Corporate,79684136,13156362,
North America,Canada,Petro-Canada,Corporate,165760279,27368085,
North America,Canada,Placer Dome Inc,Corporate,19839581,3275642,
North America,Canada,Potash Corp of Saskatchewan,Corporate,35930815,5932408,
North America,Canada,Province of British Columbia,Government Related,62714155,10354509,
North America,Canada,Province of Manitoba,Government Related,72317449,11940074,
North America,Canada,Province of Newfoundland,Government Related,33230034,5486492,
North America,Canada,Province of Nova Scotia,Government Related,66848478,11037112,
North America,Canada,Province of Ontario,Government Related,1751341548,289157718,
North America,Canada,Province of Quebec,Government Related,664332963,109685631,
North America,Canada,Royal Bank of Canada,Corporate/Securitized,87335195,14419601,
North America,Canada,Suncor Energy Inc,Corporate,44587017,7361602,
North America,Canada,Talisman Energy Inc,Corporate,150115831,24785086,
North America,Canada,TransCanada Pipelines Ltd,Corporate,36191840,5975505,
North America,Canada,West Fraser Timber Co Ltd,Corporate,46133980,7617016,
Latin America,Cayman Islands,Chec Nim Ltd.,Corporate,11438529,1888574,
Latin America,Cayman Islands,C-Bass Ltd,Corporate,11577032,1911442,
Latin America,Cayman Islands,Dwr Cymru Financing Ltd,Corporate,45419344,7499025,
Latin America,Cayman Islands,GHG Finance Ltd,Corporate,23548390,3887990,
Latin America,Cayman Islands,RHM Finance Ltd,Corporate,20586563,3398974,
Latin America,Cayman Islands,THPA Finance Ltd,Corporate,32239877,5323010,
Latin America,Chile,Celulosa Arauco y Constitucion SA,Corporate,50622019,8358020,
Latin America,Chile,Corp Nacional del Cobre de Chile - CODELCO,Corporate,72840352,12026409,
Latin America,Chile,Government of Chile,Government,73253048,12094548,
Asia,China,CNOOC Ltd,Government Related,89877681,14839381,
Asia,China,Export-Import Bank Of China,Government Related,95140842,15708363,
Asia,China,Government of China,Government,348876475,57601743,
Europe,Croatia,Government of Croatia,Government,619765419,102327244,
Europe,Croatia,Zagrebacka Bank,Corporate,282517331,46645423,
Europe,Czech Republic,Ceska Exportni Banka AS,Government Related,334729585,55266001,
Europe,Czech Republic,CEZ Finance BV,Corporate,-13207999,-2180725,
Europe,Denmark,BRFkredit A/S,Corporate,177385465,29287477,
Europe,Denmark,Den danske Bank,Corporate,376807036,62213257,
Europe,Denmark,DLR Kredit A/S,Corporate,20644134,3408479,
Europe,Denmark,Government of Denmark,Government,7366314014,1216225670,
Europe,Denmark,ISS Global A/S,Corporate,229748711,37932985,
Europe,Denmark,Nordea Kredit Realkreditaktieselskab,Corporate,448257023,74010108,
Europe,Denmark,Nykredit Realkredit A/S,Securitized,896782473,148064536,
Europe,Denmark,Realkredit Danmark A/S,Securitized,1914447626,316087577,
Europe,Denmark,Tele Danmark AS (TDC AS),Corporate,193519080,31951241,
Europe,Finland,Elisa Communications Oyj,Corporate,17112013,2825303,
Europe,Finland,Fortum Oyj,Government Related,325640188,53765283,
Europe,Finland,Government of Finland,Government,1036652695,171158006,
Europe,Finland,Municipality Finance Plc,Government Related,94385641,15583674,
Europe,Finland,Sampo Oyj,Corporate,104215664,17206674,
Europe,Finland,Stora Enso Oyj,Corporate,143066813,23621248,
Europe,Finland,UPM-Kymmene Oyj,Corporate,100130330,16532159,
Europe,France,Accor SA,Corporate,103981184,17167960,
Europe,France,Agence Francaise de Developpement,Government Related,58621788,9678833,
Europe,France,Air Liquide,Corporate,70393905,11622485,
Europe,France,Alcatel SA,Corporate,18882197,3117572,
Europe,France,Auchan SA,Corporate,59204922,9775112,
Europe,France,AXA SA,Corporate,519803328,85822862,
Europe,France,Banque Federative du Credit Mutuel,Corporate,77803525,12845861,
Europe,France,BNP Paribas,Corporate,709783384,117189787,
Europe,France,Bouygues SA,Corporate,201340414,33242593,
Europe,France,Caisse Centrale du Credit Immobilier de France,Corporate,193934550,32019838,
Europe,France,Caisse d'Amortissement de la Dette Sociale,Government Related,407703800,67314511,
Europe,France,Caisse Nationale des Autoroutes,Corporate,204853505,33822627,
Europe,France,Caisse Nationale des Caisses d'Epargne et de Prevoyance,Corporate,634467193,104754601,
Europe,France,Caisse Refinancement de l'Habitat,Securitized,1046934891,172855663,
Europe,France,Carrefour SA,Corporate,245736088,40572603,
Europe,France,Casino Guichard Perrachon SA,Corporate,230008381,37975858,
Europe,France,Cie Financiere et Industrielle des Autoroute,Corporate,79136772,13065988,
Europe,France,CIF Euromortgage,Securitized,2734338354,451456792,
Europe,France,Coeur Defence,Corporate,8370441,1382013,
Europe,France,Cofinoga SA,Corporate,25793465,4258666,
Europe,France,Compagnie Generale des Etablissements Michelin,Corporate,179883441,29699909,
Europe,France,Credit Agricole SA,Corporate,294001873,48541594,
Europe,France,Credit Foncier de France,Corporate,4006135586,661438669,
Europe,France,Dexia Municipal Agency,Securitized,6802644589,1123160234,
Europe,France,Electricite de France,Government Related,628156389,103712647,
Europe,France,France Telecom,Corporate,1571636829,259487316,
Europe,France,French Residential Asset,Securitized,12391657,2045942,
Europe,France,Gaz de France,Government Related,47380428,7822812,
Europe,France,Gecina SA,Corporate,71496817,11804583,
Europe,France,Government of France,Government,22124428550,3652884995,
Europe,France,Imerys SA,Corporate,146151547,24130557,
Europe,France,Ixis Corporate & Investment,Government Related,1877818420,310039860,
Europe,France,Klepierre,Corporate,26312085,4344294,
Europe,France,Lafarge S.A.,Corporate,187351867,30932994,
Europe,France,La Mondiale Vie,Corporate,36528606,6031107,
Europe,France,La Poste,Government Related,298727001,49321743,
Europe,France,LVMH Moet Hennessy Louis Vuitton,Corporate,106812106,17635363,
Europe,France,Natexis Banques Populaire,Corporate,26025540,4296983,
Europe,France,Peugeot SA,Corporate,148028186,24440402,
Europe,France,Pinault Printemps Redoute,Corporate,26988994,4456056,
