Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,ANZ Banking Group,Corporate,95346000,13762811,
Oceania,Australia,Commonwealth Bank of Australia,Corporate,61213000,8835850,
Oceania,Australia,Fosters Brewing Group,Corporate,39362000,5681746,
Oceania,Australia,Government of Australia,Government,-838757000,-121071191,
Oceania,Australia,National Australia Bank,Corporate,132023000,19056988,
Oceania,Australia,Telstra Corporation Limited,Corporate,83254000,12017379,
Oceania,Australia,Telstra Corp Ltd,Corporate,95564000,13794278,
Europe,Austria,Bank Austria AG,Corporate,249459000,36008401,
Europe,Austria,Bank Fuer Arbeit & Wirtschaft,Corporate,400010000,57739831,
Europe,Austria,Government of Austria,Government,7122826000,1028151217,
Europe,Austria,Kommunalkredit AG,Corporate,238368000,34407460,
Europe,Austria,Pfandbrief Landeshypotheken,Government Related,244506000,35293455,
Europe,Austria,Sappi Papier Holding AG,Corporate,53342000,7699703,
Europe,Belgium,Government of Belgium,Government,-3585376000,-517534571,
Europe,Belgium,Solvay SA,Corporate,39096000,5643350,
North America,Canada,Abitibi-Consolidated,Corporate,34995000,5051387,
North America,Canada,Alberta Energy Co Ltd,Corporate,142787000,20610728,
North America,Canada,Alcan Inc,Corporate,79018000,11405930,
North America,Canada,Barrick Gold Corp,Corporate,40098000,5787985,
North America,Canada,Brascan Corp,Corporate,37205000,5370392,
North America,Canada,Canada Housing Trust,Government Related,3463377000,499924507,
North America,Canada,Canadian National Railway,Corporate,79884000,11530933,
North America,Canada,Canadian Natural Resources,Corporate,40473000,5842114,
North America,Canada,Canadian Pacific Ltd,Corporate,16312000,2354571,
North America,Canada,Export Development Corporation,Government Related,459107000,66270245,
North America,Canada,Government of Canada,Government,24590299000,3549510523,
North America,Canada,Greater Toronto Airport,Corporate,46895000,6769104,
North America,Canada,Hydro-Quebec,Corporate,90255000,13027945,
North America,Canada,Inco Ltd,Corporate,42423000,6123589,
North America,Canada,Manufacturers Life Insurance,Corporate,122818000,17728283,
North America,Canada,Nexen Inc,Corporate,38314000,5530471,
North America,Canada,Noranda Inc,Corporate,34175000,4933023,
North America,Canada,Ontario Electricity Fin,Government Related,66597000,9613008,
North America,Canada,Potash Corp Saskatchewan,Corporate,43200000,6235746,
North America,Canada,Province of Alberta,Government Related,210605000,30399983,
North America,Canada,Province of British Columbia,Government Related,74623000,10771529,
North America,Canada,Province of Manitoba,Government Related,86753000,12522446,
North America,Canada,Province of Newfoundland,Government Related,37568000,5422789,
North America,Canada,Province of Ontario,Government Related,611654000,88289789,
