Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Latin America,Argentina,Banco Patagonia SA,Financials,23080000,4250578,,0.6,Argentina
Latin America,Argentina,Mercadolibre Inc,Consumer Services,28081000,5171598,0.16,0.16,United States
Oceania,Australia,Abacus Property Group,Financials,8105000,1492675,0.15,0.15,Australia
Oceania,Australia,ABB Grain Ltd,Consumer Goods,8953000,1648848,0.15,0.15,Australia
Oceania,Australia,ABC Learning Centres Ltd,Consumer Services,45697000,8415886,0.39,0.39,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,13421000,2471707,0.15,0.15,Australia
Oceania,Australia,Aditya Birla Minerals Ltd,Basic Materials,4494000,827647,0.13,0.13,Australia
Oceania,Australia,AGL Energy Ltd,Utilities,109102000,20093004,0.4,0.4,Australia
Oceania,Australia,Alesco Corp Ltd,Industrials,4016000,739615,0.09,0.09,Australia
Oceania,Australia,Allco Finance Group Ltd,Financials,24616000,4533459,0.23,0.23,Australia
Oceania,Australia,Allegiance Mining NL,Basic Materials,2779000,511801,0.07,0.07,Australia
Oceania,Australia,Alliance Resources Ltd,Basic Materials,865000,159305,0.05,0.05,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,276243000,50874886,0.68,0.78,Australia
Oceania,Australia,Amcor Ltd,Industrials,114746000,21132444,0.4,0.4,Australia
Oceania,Australia,AMP Ltd,Financials,403218000,74259510,0.45,0.45,Australia
Oceania,Australia,Ansell Ltd,Health Care,22810000,4200853,0.29,0.29,Australia
Oceania,Australia,Anvil Mining Ltd,Basic Materials,1076000,198164,0.02,0.02,Canada
Oceania,Australia,APA Group,Oil & Gas,16514000,3041336,0.21,0.21,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,11632000,2142232,0.09,0.09,Australia
Oceania,Australia,APN/UKA European Retail Property Group,Financials,3748000,690258,0.15,0.15,Australia
Oceania,Australia,Arana Therapeutics Ltd,Health Care,593000,109211,0.05,0.05,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,99003000,18233100,0.4,0.4,Australia
Oceania,Australia,Arrow Energy Ltd,Oil & Gas,12100000,2228423,0.14,0.14,Australia
Oceania,Australia,ARB Corp Ltd,Consumer Services,796000,146597,0.06,0.06,Australia
Oceania,Australia,ARC Energy Ltd,Oil & Gas,3070000,565393,0.15,0.15,Australia
Oceania,Australia,Asciano Group,Industrials,76699000,14125436,0.35,0.35,Australia
Oceania,Australia,ASX Ltd,Financials,191911000,35343702,0.39,0.39,Australia
Oceania,Australia,Austal Ltd,Industrials,3261000,600569,0.13,0.13,Australia
Oceania,Australia,Austar United Communications Ltd,Consumer Services,2029000,373675,0.02,0.02,Australia
Oceania,Australia,Austereo Group Ltd,Consumer Services,6283000,1157122,0.16,0.16,Australia
Oceania,Australia,Australand Property Group,Financials,20107000,3703049,0.2,0.2,Australia
Oceania,Australia,Australian Agricultural Co Ltd,Consumer Goods,3534000,650847,0.09,0.09,Australia
Oceania,Australia,Australian Infrastructure Fund,Financials,9114000,1678499,0.16,0.16,Australia
Oceania,Australia,Australian Pharmaceutical Industries Ltd,Consumer Services,4413000,812730,0.2,0.2,Australia
Oceania,Australia,Australian Wealth Management Ltd,Financials,29224000,5382101,0.43,0.43,Australia
Oceania,Australia,Australian Worldwide Exploration Ltd,Oil & Gas,16104000,2965828,0.22,0.22,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,790628000,145607706,0.36,0.36,Australia
Oceania,Australia,AVJennings Ltd,Consumer Goods,50000,9208,,0.0,Australia
Oceania,Australia,AWB Ltd,Consumer Goods,16898000,3112057,0.35,0.35,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,154970000,28540383,0.26,0.26,Australia
Oceania,Australia,Babcock & Brown Communities Ltd,Health Care,687000,126523,0.02,0.02,Australia
Oceania,Australia,Babcock & Brown Infrastructure Group,Industrials,20971000,3862169,0.12,0.12,Australia
Oceania,Australia,Babcock & Brown Japan Property Trust,Financials,5253000,967430,0.15,0.15,Australia
Oceania,Australia,Babcock & Brown Ltd,Financials,118468000,21817914,0.31,0.31,Australia
Oceania,Australia,Babcock & Brown Wind Partners,Financials,10592000,1950698,0.15,0.15,Australia
Oceania,Australia,Bank of Queensland Ltd,Financials,40488000,7456560,0.33,0.33,Australia
Oceania,Australia,BBI EPS Ltd,Industrials,523000,96319,,0.0,Australia
Oceania,Australia,Beach Petroleum Ltd,Oil & Gas,15367000,2830097,0.24,0.24,Australia
Oceania,Australia,Bendigo Bank Ltd,Financials,60139000,11075628,0.33,0.33,Australia
Oceania,Australia,Bendigo Mining Ltd,Basic Materials,677000,124681,0.09,0.09,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,1553929000,286182675,0.23,0.15,Australia
Oceania,Australia,Billabong International Ltd,Consumer Goods,68950000,12698325,0.47,0.47,Australia
Oceania,Australia,BlueScope Steel Ltd,Basic Materials,103429000,19048224,0.3,0.3,Australia
Oceania,Australia,Boart Longyear Group,Oil & Gas,21067000,3879849,0.13,0.13,Australia
Oceania,Australia,Boom Logistics Ltd,Industrials,2533000,466495,0.17,0.17,Australia
Oceania,Australia,Boral Ltd,Industrials,68657000,12644364,0.39,0.39,Australia
Oceania,Australia,Bradken Ltd,Industrials,21774000,4010056,0.54,0.54,Australia
Oceania,Australia,Brambles Ltd,Industrials,339766000,62573736,0.44,0.44,Australia
Oceania,Australia,Bunnings Warehouse Property Trust,Financials,3980000,732985,0.12,0.12,Australia
Oceania,Australia,Cabcharge Australia Ltd,Industrials,10978000,2021787,0.18,0.18,Australia
Oceania,Australia,Caltex Australia Ltd,Oil & Gas,45796000,8434119,0.18,0.18,Australia
Oceania,Australia,CBH Resources Ltd,Basic Materials,1295000,238496,0.06,0.06,Australia
Oceania,Australia,Cellestis Ltd,Health Care,344000,63353,0.02,0.02,Australia
Oceania,Australia,Centennial Coal Co Ltd,Basic Materials,12259000,2257705,0.17,0.17,Australia
Oceania,Australia,Centro Properties Group,Financials,15970000,2941149,0.39,0.39,Australia
Oceania,Australia,Centro Retail Group,Financials,40629000,7482527,0.39,0.39,Australia
Oceania,Australia,CFS Retail Property Trust,Financials,73395000,13516948,0.29,0.29,Australia
Oceania,Australia,Challenger Financial Services Group Ltd,Financials,37463000,6899454,0.26,0.26,Australia
Oceania,Australia,City Pacific Ltd,Financials,2847000,524324,0.11,0.11,Australia
Oceania,Australia,Clough Ltd,Oil & Gas,1186000,218422,0.04,0.04,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,87679000,16147592,0.26,0.26,Australia
Oceania,Australia,Cochlear Ltd,Health Care,113470000,20897447,0.57,0.57,Australia
Oceania,Australia,Cockatoo Ridge Wines Ltd,Financials,2811000,517694,1.27,1.27,Australia
Oceania,Australia,Commander Communications Ltd,Technology,441000,81218,0.15,0.15,Australia
Oceania,Australia,Commonwealth Bank of Australia,Financials,-425173000,-78302900,,-0.12,Australia
