Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Amcor Ltd,Industrials,102086153,11381730,,0.48,Australia
Oceania,Australia,Amp Ltd,Financials,179918105,20059325,,0.19,Australia
Oceania,Australia,AMP Diversified Property Trust,Financials,4247552,473566,,0.07,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,10398020,1159290,,0.09,Australia
Oceania,Australia,Australian Gas Light Co LTD,Utilities,21380755,2383771,,0.14,Australia
Oceania,Australia,Australian Stock Exchange Ltd,Financials,13198567,1471527,,0.25,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,112015752,12488795,,0.09,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,20218404,2254179,,0.09,Australia
Oceania,Australia,Bank of Western Australia Ltd,Financials,4780192,532950,,0.05,Australia
Oceania,Australia,Bhp Billiton Ltd,Basic Materials,411476275,45876074,,0.23,Australia
Oceania,Australia,Brambles Industries Ltd,Consumer Services,163095627,18183763,,0.35,Australia
Oceania,Australia,Caltex Australia Ltd,Oil & Gas,490444,54680,,0.03,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,19847740,2212853,,0.11,Australia
Oceania,Australia,Coles Myer Ltd,Consumer Services,62291526,6944971,,0.13,Australia
Oceania,Australia,Commonwealth Bank Of Australia,Financials,410910391,45812983,,0.23,Australia
Oceania,Australia,Computershare Ltd,Industrials,16976393,1892722,,0.12,Australia
Oceania,Australia,CSL Ltd,Health Care,48002890,5351910,,0.13,Australia
Oceania,Australia,CSR Ltd,Basic Materials,44311483,4940350,,0.15,Australia
Oceania,Australia,Foodland Associated Ltd,Telecommunications,6854118,764175,,0.13,Australia
Oceania,Australia,Fosters Group Ltd,Consumer Goods,205543353,22916320,,0.45,Australia
Oceania,Australia,Gandel Retail Trust,Financials,4541968,506390,,0.07,Australia
Oceania,Australia,General Property Trust,Financials,21973485,2449855,,0.09,Australia
Oceania,Australia,Goodman Fielder Ltd,Health Care,45667461,5091530,,0.56,Australia
Oceania,Australia,Harvey Norman Holdings Ltd,Consumer Services,22147734,2469282,,0.11,Australia
Oceania,Australia,Insurance Australia Group Ltd,Financials,22544847,2513557,,0.11,Australia
Oceania,Australia,James Hardie Industries NV,Industrials,67634693,7540688,,0.55,Netherlands
Oceania,Australia,John Fairfax Holdings Ltd,Consumer Services,47618422,5309046,,0.37,Australia
Oceania,Australia,Lang Corporation Ltd,Consumer Services,30467881,3396907,,0.37,Australia
Oceania,Australia,Lend Lease Corp Ltd,Industrials,125322169,13972347,,0.49,Australia
Oceania,Australia,Lion Nathan Ltd,Consumer Goods,15574165,1736386,,0.14,Australia
Oceania,Australia,Macquarie Bank Ltd,Financials,41258232,4599939,,0.12,Australia
Oceania,Australia,Mayne Nickless Ltd,Consumer Services,105548151,11767713,,0.41,Australia
Oceania,Australia,Mim Holdings Ltd,Oil & Gas,12552930,1399544,,0.14,Australia
Oceania,Australia,Mirvac Group,Financials,55722131,6212540,,0.51,Australia
Oceania,Australia,National Australia Bank Ltd,Financials,587270954,65475673,,0.25,Australia
Oceania,Australia,National Foods Ltd,Consumer Goods,4999399,557390,,0.13,Australia
Oceania,Australia,Newcrest Mining Ltd,Basic Materials,6967218,776785,,0.13,Australia
Oceania,Australia,News Corp Ltd,Consumer Services,630652505,70312344,,0.42,Australia
Oceania,Australia,Normandy Mining Ltd,Oil & Gas,30747760,3428111,,0.17,Australia
Oceania,Australia,Oil Search Ltd,Oil & Gas,14468071,1613066,,0.39,Australia
Oceania,Australia,Orica Ltd,Basic Materials,63041213,7028554,,0.69,Australia
Oceania,Australia,Origin Energy Ltd,Utilities,11339442,1264250,,0.14,Australia
Oceania,Australia,Pacific Dunlop Ltd,Industrials,5896933,657457,,0.13,Australia
Oceania,Australia,Pasminco Ltd,Oil & Gas,171105,19077,,0.07,Australia
Oceania,Australia,Publishing & Broadcasting Ltd,Consumer Services,6288110,701070,,0.02,Australia
Oceania,Australia,Qantas Airways Ltd,Consumer Services,89413425,9968830,,0.34,Australia
Oceania,Australia,QBE Insurance Group Ltd,Financials,96210489,10726644,,0.47,Australia
Oceania,Australia,Rio Tinto Ltd,Basic Materials,189901355,21172372,,0.22,Australia
Oceania,Australia,Santos Ltd,Oil & Gas,25163754,2805543,,0.15,Australia
Oceania,Australia,Seven Network Ltd,Consumer Services,2767848,308591,,0.03,Australia
Oceania,Australia,Sonic Healthcare Ltd,Health Care,20201667,2252313,,0.22,Australia
Oceania,Australia,Southcorp Ltd,Consumer Goods,36549755,4074984,,0.14,Australia
Oceania,Australia,Stockland,Financials,13347074,1488084,,0.08,Australia
Oceania,Australia,St George Bank Ltd,Financials,89746162,10005927,,0.21,Australia
Oceania,Australia,Suncorp-Metway Ltd,Financials,78485755,8750488,,0.24,Australia
Oceania,Australia,Tabcorp Holdings Ltd,Consumer Services,56013987,6245079,,0.33,Australia
Oceania,Australia,TAB Ltd,Consumer Services,26059247,2905382,,0.42,Australia
Oceania,Australia,Telstra Corp Ltd,Telecommunications,165184681,18416675,,0.1,Australia
Oceania,Australia,Transurban Group,Industrials,15434978,1720868,,0.15,Australia
Oceania,Australia,Wesfarmers Ltd,Consumer Services,74604643,8317778,,0.14,Australia
Oceania,Australia,Westfield Holdings Ltd,Financials,84927353,9468671,,0.2,Australia
Oceania,Australia,Westfield Trust,Financials,40135045,4474713,,0.13,Australia
Oceania,Australia,Westpac Banking Corp,Financials,411735997,45905031,,0.32,Australia
Oceania,Australia,Westralian SAnds,Oil & Gas,4902538,546591,,0.11,Australia
Oceania,Australia,WMC Resources Ltd,Oil & Gas,70443352,7853829,,0.15,Australia
Oceania,Australia,Woodside Petroleum Ltd,Oil & Gas,110416729,12310518,,0.27,Australia
Oceania,Australia,Woolworths Ltd,Consumer Services,168447037,18780399,,0.31,Australia
Europe,Austria,Austrian Airlines,Consumer Services,827968,92311,,0.04,Austria
Europe,Austria,Boehler-Uddeholm,Basic Materials,5143884,573499,,0.13,Austria
Europe,Austria,Brau Union AG,Consumer Goods,2214435,246891,,0.07,Austria
Europe,Austria,BWT AG,Industrials,2085701,232538,,0.06,Austria
Europe,Austria,Erste Bank Der Oesterreichischen Sparkassen AG,Financials,9995347,1114395,,0.04,Austria
Europe,Austria,EVN AG,Utilities,7089600,790430,,0.05,Austria
Europe,Austria,Flughafen Wien AG,Consumer Services,2334943,260326,,0.05,Austria
Europe,Austria,Immofinanz Immobilien Anlagen AG,Financials,5808725,647623,,0.11,Austria
Europe,Austria,Lenzing AG,Basic Materials,1354256,150988,,0.06,Austria
Europe,Austria,Mayr-Melnhof Karton AG,Basic Materials,3923978,437490,,0.08,Austria
Europe,Austria,Oesterreichische Brau-Ag,Consumer Goods,1766501,196950,,0.06,Austria
Europe,Austria,Oesterreichische El Wirtsch,Utilities,12934138,1442045,,0.13,Austria
Europe,Austria,OMV AG,Oil & Gas,158013774,17617180,,0.78,Austria
Europe,Austria,Palfinger AG,Industrials,503329,56117,,0.03,Austria
Europe,Austria,RHI AG,Industrials,1865702,208010,,0.16,Austria
Europe,Austria,Telekom Austria AG,Telecommunications,15183591,1692840,,0.12,Austria
Europe,Austria,Va Technologie A,Industrials,3475981,387542,,0.12,Austria
Europe,Austria,Voest-Alpine AG,Basic Materials,7512087,837533,,0.09,Austria
Europe,Austria,Wienerberger AG,Industrials,7422615,827558,,0.09,Austria
Europe,Belgium,Ackermans & Van Haaren,Industrials,9898156,1103559,,0.13,Belgium
Europe,Belgium,AGFA-Gevaert NV,Industrials,14817185,1651989,,0.09,Belgium
Europe,Belgium,Almanij NV,Financials,18213847,2030688,,0.03,Belgium
Europe,Belgium,Arbed(Acier Reun De Burb-Eich-Dud) NV,Basic Materials,5590192,623258,,0.05,Belgium
Europe,Belgium,Barco NV,Industrials,1720495,191820,,0.04,Belgium
Europe,Belgium,Bekaert SA,Industrials,10142001,1130746,,0.13,Belgium
Europe,Belgium,Cie Nationale a Portefeuille,Financials,10442555,1164255,,0.06,Belgium
Europe,Belgium,Colruyt SA,Consumer Services,11161433,1244404,,0.08,Belgium
Europe,Belgium,Delhaize Group,Consumer Services,75993962,8472675,,0.18,Belgium
Europe,Belgium,Dexia,Financials,145952105,16272408,,0.11,Belgium
Europe,Belgium,D'Ieteren SA,Consumer Services,5104444,569102,,0.06,Belgium
Europe,Belgium,Electrabel,Utilities,193448155,21567810,,0.19,Belgium
Europe,Belgium,Fortis,Financials,726848910,81037418,,0.24,Belgium
Europe,Belgium,Gevaert NV,Financials,2811309,313437,,0.04,Belgium
Europe,Belgium,Gib Group SA,Telecommunications,12218426,1362250,,0.14,Belgium
Europe,Belgium,Groupe Bruxelles Lambert SA,Financials,34642667,3862360,,0.05,Belgium
Europe,Belgium,Interbrew,Health Care,95312371,10626512,,0.09,Belgium
Europe,Belgium,KBC Groep NV,Financials,52556290,5859575,,0.06,Belgium
