Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Latin America,Argentina,Telecom Argentina SA,Telecommunications,17006740,2803224,0.08,0.08,Argentina
Oceania,Australia,Abacus Property Group,Financials,33610624,5540045,0.54,0.54,Australia
Oceania,Australia,Acrux Ltd,Health Care,89250225,14711131,3.86,3.86,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,279408953,46055029,2.2,2.2,Australia
Oceania,Australia,AGL Energy Ltd,Utilities,441414094,72758366,0.97,0.97,Australia
Oceania,Australia,Ainsworth Game Technology Ltd,Consumer Services,26677182,4397205,0.35,0.35,Australia
Oceania,Australia,AJ Lucas Group Ltd,Industrials,1652073,272312,0.1,0.1,Australia
Oceania,Australia,Alliance Resources Ltd,Basic Materials,418727,69019,0.17,0.17,Australia
Oceania,Australia,Altium Ltd,Technology,49313790,8128401,3.47,3.47,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,335531608,55305737,1.98,1.98,Australia
Oceania,Australia,ALS Ltd/Queensland,Consumer Goods,172035041,28356567,0.91,0.91,Australia
Oceania,Australia,Amcom Telecommunications Ltd,Telecommunications,4278644,705250,0.15,0.15,Australia
Oceania,Australia,Amcor Ltd/Australia,Industrials,643348323,106043222,0.93,0.93,Australia
Oceania,Australia,Ampella Mining Ltd,Basic Materials,983740,162150,0.54,0.54,Australia
Oceania,Australia,AMP Ltd,Financials,597291503,98451668,0.85,0.85,Australia
Oceania,Australia,Ansell Ltd,Health Care,164747010,27155280,0.96,0.96,Australia
Oceania,Australia,APA Group,Oil & Gas,264099181,43531516,0.97,0.97,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,3250806,535831,0.2,0.2,Australia
Oceania,Australia,Aquila Resources Ltd,Basic Materials,11292555,1861354,0.22,0.22,Australia
Oceania,Australia,Arafura Resources Ltd,Basic Materials,903512,148926,0.48,0.48,Australia
Oceania,Australia,Ardent Leisure Group,Financials,41128545,6779226,0.93,0.93,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,492907508,81246035,3.51,3.51,Australia
Oceania,Australia,Arrium Ltd,Basic Materials,129844082,21402224,1.0,1.0,Australia
Oceania,Australia,ARB Corp Ltd,Consumer Services,40619190,6695269,0.88,0.88,Australia
Oceania,Australia,Asciano Ltd,Industrials,119638929,19720107,0.39,0.39,Australia
Oceania,Australia,Aspen Group,Financials,7815852,1288288,0.76,0.76,Australia
Oceania,Australia,Astro Japan Property Group,Financials,11646774,1919740,0.93,0.93,Australia
Oceania,Australia,ASX Ltd,Financials,338022677,55716340,0.88,0.88,Australia
Oceania,Australia,Atlas Iron Ltd,Basic Materials,216436740,35675308,3.79,3.79,Australia
Oceania,Australia,Aurizon Holdings Ltd,Industrials,157821350,26013722,0.28,0.28,Australia
Oceania,Australia,Aurora Oil & Gas Ltd,Oil & Gas,49578247,8171992,0.67,0.67,Australia
Oceania,Australia,Ausdrill Ltd,Industrials,19123309,3152099,1.1,1.1,Australia
