Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Amcor Finance USA Inc,Corporate Bonds,163016692,19930275,United States
Oceania,Australia,Amcor Ltd/Australia,Corporate Bonds,424377720,51884040,Australia
Oceania,Australia,APT Pipelines Ltd,Corporate Bonds,258736363,31632876,Australia
Oceania,Australia,Asciano Finance Ltd,Corporate Bonds,212456968,25974799,Australia
Oceania,Australia,AusNet Services Holdings Pty Ltd,Corporate Bonds,59009179,7214409,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate Bonds/Securitized Bonds,945347186,115577300,Australia
Oceania,Australia,Australian Capital Territory,Government Related Bonds,326816794,39956328,Australia
Oceania,Australia,Bank of Queensland Ltd,Securitized Bonds,159135130,19455718,Australia
Oceania,Australia,BHP Billiton Finance Ltd,Corporate Bonds,454323608,55545197,Australia
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate Bonds,20263645,2477415,Australia
Oceania,Australia,Boral Finance Pty Ltd,Corporate Bonds,285460406,34900133,Australia
Oceania,Australia,Commonwealth Bank of Australia,Corporate Bonds/Securitized Bonds,4716060963,576581386,Australia
Oceania,Australia,Goodman Australia Finance Pty Ltd,Corporate Bonds,500814152,61229089,Australia
Oceania,Australia,Goodman Industrial Trust,Corporate Bonds,268958189,32882587,Australia
Oceania,Australia,Government of Australia,Government,34860296685,4261988628,Australia
Oceania,Australia,LGFV Program Trust,Government Related Bonds,263024656,32157159,Australia
Oceania,Australia,Macquarie Group Ltd,Corporate Bonds,203787413,24914866,Australia
Oceania,Australia,National Australia Bank Ltd,Corporate Bonds/Securitized Bonds,1338924500,163695709,Australia
Oceania,Australia,New South Wales Treasury Corp,Government Related Bonds,2785840305,340594339,Australia
Oceania,Australia,Northern Territory Treasury Corp,Government Related Bonds,611360328,74744366,Australia
Oceania,Australia,Queensland Treasury Corp,Government Related Bonds,6862606130,839016075,Australia
Oceania,Australia,Scentre Group,Corporate Bonds,765151329,93546716,Australia
Oceania,Australia,SGSP Australia Assets Pty Ltd,Government Related Bonds,264228070,32304287,Australia
Oceania,Australia,South Australian Government Financing Authority,Government Related Bonds,1069777287,130790012,Australia
Oceania,Australia,Sydney Airport Finance Co Pty Ltd,Corporate Bonds,124398562,15208857,Australia
Oceania,Australia,Tasmanian Public Finance Corp,Government Related Bonds,344310251,42095063,Australia
Oceania,Australia,Telstra Corp Ltd,Corporate Bonds,1446210677,176812421,Australia
Oceania,Australia,Transurban Finance Co Pty Ltd,Corporate Bonds,161865654,19789550,Australia
Oceania,Australia,Treasury Corp of Victoria,Government Related Bonds,2378451971,290787406,Australia
Oceania,Australia,Wesfarmers Ltd,Corporate Bonds,288099814,35222825,Australia
Oceania,Australia,Western Australian Treasury Corp,Government Related Bonds,2335085715,285485487,Australia
Oceania,Australia,Westpac Banking Corp,Corporate Bonds/Securitized Bonds,7153534070,874584664,Australia
Oceania,Australia,Woodside Finance Ltd,Corporate Bonds,454822903,55606240,Australia
Europe,Austria,Autobahnen- und Schnell- strassen-Finanzierungs AG,Government Related Bonds,505095080,61752472,Austria
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,Securitized Bonds,298763353,36526540,Austria
Europe,Austria,Erste Group Bank AG,Securitized Bonds,450456018,55072349,Austria
Europe,Austria,Government of Austria,Government,12580154885,1538038461,Austria
