Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Government of Australia,Government,1645895307,217916539,
Europe,Austria,Autobahnen Und Schnellstrassen,Government Related,151930713,20115626,
Europe,Austria,Government of Austria,Government,1414993688,187345164,
Europe,Austria,Osterreichische Kontrollbank,Corporate,221712034,29354673,
Europe,Belgium,Government of Belgium,Government,1777642907,235359921,
North America,Canada,Export Development Corp Canada,Government Related,174776051,23140349,
North America,Canada,Government of Canada,Government,1814574995,240249729,
Europe,Denmark,Danmarks Hypotekbank Og Fondsforvaltning,Securitized,9097908,1204563,
Europe,Denmark,Government of Denmark,Government,1199954908,158874030,
Europe,Denmark,Storebæltforbindelsen A/S,Corporate,39503398,5230250,
Europe,Denmark,Øresundforbindelsen,Corporate,68487238,9067710,
Europe,Finland,Government of Finland,Government,2089714471,276678196,
Europe,France,Caisse D'Amortization De Dette Sociale (Cades),Government Related,901255256,119326196,
Europe,France,Caisse Francaise De Development,Government Related,83999475,11121530,
Europe,France,Electricite de France,Government Related,10525728,1393606,
Europe,France,Government of France,Government,6363689453,842552484,
Europe,France,Natexis Banque,Corporate,147468031,19524767,
Europe,Germany,Bayerische Landesbank,Government Related,1004912491,133050414,
Europe,Germany,Deutsche Ausgleichsbank,Corporate,148488345,19659857,
Europe,Germany,Deutsche Siedlungs Und Landesrentenbank,Corporate,266994494,35350071,
Europe,Germany,German Unity Fund,Government Related,822845523,108944747,
Europe,Germany,Government of Germany,Government,8627262488,1142249553,
Europe,Germany,KFW International Finance,Government Related,1231700795,163077185,
Europe,Germany,Landesbank Baden Wuerttemberg,Government Related,765156172,101306677,
Europe,Germany,Landesbank Hessen-Thueringen Gz,Government Related,289944855,38388699,
Europe,Germany,Landesbank Rheinland-Pfalz Gz,Government Related,96713681,12804891,
Europe,Germany,Norddeutsche Landesbank Gz,Government Related,271161528,35901786,
Europe,Germany,Treuhandanstalt,Government Related,2511021135,332459198,
Europe,Germany,Westdeutsche Landesbank Gz,Government Related,362882913,48045698,
International,International Organisations,Asian Development Bank,Government Related,400004890,52960647,
International,International Organisations,Eurofima,Government Related,131660235,17431815,
International,International Organisations,The African Development Bank,Government Related,641268983,84904013,
International,International Organisations,The Council Of Europe,Government Related,68795634,9108542,
International,International Organisations,The European Investment Bank,Government Related,1001080250,132543025,
International,International Organisations,The Inter-American Development Bank,Government Related,372004000,49253330,
International,International Organisations,The Nordic Investment Bank,Government Related,490916118,64997294,
International,International Organisations,The World Bank,Government Related,1303923475,172639468,
Europe,Ireland,Government of Ireland,Government,916910924,121399006,
Middle East,Israel,Government of Israel,Government,53431895,7074383,
Europe,Italy,Government of Italy,Government,7262285270,961526570,
Asia,Japan,Export-Import Bank Of Japan,Government Related,734053270,97188653,
Asia,Japan,Government of Japan,Government,19033629511,2520052547,
Asia,Japan,Japan Finance Corporation,Government Related,252166043,33386784,
Asia,Japan,Japan Highway Public Corporation,Government Related,504804616,66836131,
Asia,Japan,Kobe Municipality,Government Related,199175724,26370866,
Asia,Japan,The Japanese Development Bank,Government Related,206047378,27280673,
Asia,Japan,Tokyo Bay Highway,Government Related,77363326,10242904,
Asia,Japan,Tokyo Municipality,Government Related,169503703,22442290,
Asia,Japan,Yokohama Municipality,Government Related,328588354,43505098,
Europe,Netherlands,Government of the Netherlands,Government,2199396006,291200031,
Latin America,Netherlands Antilles,Westdeutsche Landesbank Finance Curacao,Government Related,168124513,22259686,
Oceania,New Zealand,Government of New Zealand,Government,174034186,23042126,
Europe,Portugal,Government of Portugal,Government,697237594,92314257,
Europe,Spain,Government of Spain,Government,3717383477,492181572,
Europe,Spain,Instituto Credito Official,Government Related,171539830,22711873,
Europe,Sweden,Government of Sweden,Government,1004034013,132934103,
Europe,Switzerland,Government of Switzerland,Government,1186247846,157059215,
Europe,United Kingdom,Guaranty Export Finance Corporation,Government Related,162461924,21509959,
Europe,United Kingdom,United Kingdom Government,Government,2553731619,338114066,
North America,United States,Federal Home Loan Bank,Government Related,132608785,17557403,
North America,United States,Federal Home Loan Mortgage Association,Corporate/Securitized,315557365,41779795,
North America,United States,Federal National Mortgage Association,Corporate/Securitized,831597121,110103459,
North America,United States,Government of United States of America,Government,19127971589,2532543438,
North America,United States,Student Loan Marketing Association,Corporate,106761390,14135208,
North America,United States,Tennessee Valley Authority,Government Related,151115955,20007752,
