Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Amcor Ltd/Australia,Corporate Bonds,421088194,47573330,Australia
Oceania,Australia,Asciano Finance Ltd,Corporate Bonds,233776140,26411354,Australia
Oceania,Australia,AusNet Services Holdings Pty Ltd,Corporate Bonds,75158577,8491199,Australia
Oceania,Australia,Australian Capital Territory,Government Related Bonds,172367679,19473603,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate Bonds,314312312,35510099,Australia
Oceania,Australia,BHP Billiton Finance Ltd,Corporate Bonds,826670821,93394886,Australia
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate Bonds,1275060294,144052635,Australia
Oceania,Australia,Commonwealth Bank of Australia,Corporate Bonds/Securitized Bonds,3944591529,445648577,Australia
Oceania,Australia,FBG Finance Pty Ltd,Corporate Bonds,27295187,3083731,Australia
Oceania,Australia,Goodman Funding Pty Ltd,Corporate Bonds,565046314,63837303,Australia
Oceania,Australia,Government of Australia,Government,23995496167,2710941966,Australia
Oceania,Australia,Insurance Australia Group Ltd,Corporate Bonds,52397289,5919695,Australia
Oceania,Australia,LGFV Program Trust,Government Related Bonds,268476537,30331705,Australia
Oceania,Australia,Macquarie Bank Ltd,Corporate Bonds/Securitized Bonds,1102916245,124604297,Australia
Oceania,Australia,National Australia Bank Ltd,Corporate Bonds/Securitized Bonds,2397384133,270849547,Australia
Oceania,Australia,New South Wales Treasury Corp,Government Related Bonds,3028948837,342201906,Australia
Oceania,Australia,Northern Territory Treasury Corp,Government Related Bonds,708982470,80098795,Australia
Oceania,Australia,Queensland Treasury Corp,Government Related Bonds,6619674307,747871715,Australia
Oceania,Australia,Scentre Group,Corporate Bonds,936593222,105813601,Australia
Oceania,Australia,SGSP Australia Assets Pty Ltd,Corporate Bonds,241920095,27331435,Australia
Oceania,Australia,South Australian Government Financing Authority,Government Related Bonds,1065591852,120387495,Australia
Oceania,Australia,Suncorp Insurance Funding 2007 Ltd,Corporate Bonds,67549849,7631587,Australia
Oceania,Australia,Tasmanian Public Finance,Government Related Bonds,989963424,111843213,Australia
Oceania,Australia,Telstra Corp Ltd,Corporate Bonds,1863022428,210478902,Australia
Oceania,Australia,Treasury Corp of Victoria,Government Related Bonds,3395375693,383599755,Australia
Oceania,Australia,Wesfarmers Ltd,Corporate Bonds,308574083,34861810,Australia
Oceania,Australia,Western Australian Treasury Corp,Government Related Bonds,1771185441,200103424,Australia
Oceania,Australia,Westpac Banking Corp,Corporate Bonds/Securitized Bonds,5981191116,675737725,Australia
Oceania,Australia,Woodside Finance Ltd,Corporate Bonds,145380295,16424647,Australia
Europe,Austria,Autobahnen- und Schnellstrassen-Finanzierungs-AG,Government Related Bonds,482959217,54563340,Austria
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,Corporate Bonds/Securitized Bonds,143914620,16259059,Austria
Europe,Austria,Erste Finance Jersey 6 Ltd,Corporate Bonds,23770672,2685542,Jersey
Europe,Austria,Erste Group Bank AG,Corporate Bonds/Securitized Bonds,469138229,53001884,Austria
Europe,Austria,Government of Austria,Government,15642558271,1767251128,Austria
Europe,Austria,Heta Asset Resolution AG,Government Related Bonds,1314281496,148483734,Austria
Europe,Austria,KA Finanz AG,Government Related Bonds,338410247,38232614,Austria
Europe,Austria,KIG - Krankenanstalten Immobiliengesellschaft mbH,Government Related Bonds,46301492,5231009,Austria
Europe,Austria,OeBB Infrastruktur AG,Government Related Bonds,829964839,93767034,Austria
Europe,Austria,Oesterreichische Kontrollbank AG,Government Related Bonds,2209981714,249677361,Austria
