Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Alumina Ltd,Basic Materials,83567000,12062560,,0.39,Australia
Oceania,Australia,Amcor Ltd,Industrials,73529000,10613615,,0.27,Australia
Oceania,Australia,AMP Diversified Property Trust,Financials,2779000,401137,,0.05,Australia
Oceania,Australia,AMP Ltd,Financials,150589000,21736915,,0.3,Australia
Oceania,Australia,Ansell Ltd,Health Care,7856000,1133982,,0.14,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,5322000,768209,,0.06,Australia
Oceania,Australia,Australian Gas Light Co Ltd,Utilities,21656000,3125956,,0.12,Australia
Oceania,Australia,Australian Stock Exchange Ltd,Financials,10168000,1467710,,0.22,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,220309000,31800716,,0.22,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,15267000,2203730,,0.09,Australia
Oceania,Australia,Bank of Western Australia Ltd,Financials,2661000,384105,,0.03,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,510891000,73745056,,0.35,Australia
Oceania,Australia,BHP Steel Ltd,Basic Materials,20988000,3029533,,0.21,Australia
Oceania,Australia,Brambles Industries Ltd,Consumer Services,155659000,22468749,,0.88,Australia
Oceania,Australia,CFS Gandel Retail Trust,Financials,4004000,577961,,0.04,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,75537000,10903461,,0.53,Australia
Oceania,Australia,Cochlear Ltd,Health Care,11912000,1719449,,0.15,Australia
Oceania,Australia,Coles Myer Ltd,Consumer Services,53720000,7754265,,0.18,Australia
Oceania,Australia,Commonwealth Bank of Australia,Financials,400893000,57867288,,0.3,Australia
Oceania,Australia,Computershare Ltd,Financials,48094000,6942175,,1.22,Australia
Oceania,Australia,CSL Ltd,Health Care,96618000,13946419,,0.72,Australia
Oceania,Australia,CSR Ltd,Basic Materials,111626000,16112763,,0.48,Australia
Oceania,Australia,Foodland Associated Ltd,Telecommunications,13748000,1984468,,0.17,Australia
Oceania,Australia,Fosters Group Ltd,Consumer Goods,106931000,15435059,,0.3,Australia
Oceania,Australia,General Property Trust,Financials,52517000,7580617,,0.23,Australia
Oceania,Australia,Goodman Fielder Ltd,Health Care,67628000,9761829,,0.82,Australia
Oceania,Australia,Harvey Norman Holdings Ltd,Consumer Services,13941000,2012327,,0.13,Australia
Oceania,Australia,Iluka Resources Ltd,Basic Materials,7588000,1095297,,0.18,Australia
Oceania,Australia,Insurance Australia Group Ltd,Financials,32046000,4625711,,0.18,Australia
Oceania,Australia,John Fairfax Holdings Ltd,Consumer Services,7582000,1094431,,0.08,Australia
