Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Amcor,Industrials,16622062,1884908,,0.1,Australia
Oceania,Australia,AMP Diversified Property Trust,Financials,111329370,12624525,,0.1,Australia
Oceania,Australia,Austar United Communications,Consumer Services,993728,112687,,0.02,Australia
Oceania,Australia,Australia & New Zealand Banking Group,Financials,109528908,12420356,,0.1,Australia
Oceania,Australia,Australian Foundation,Financials,6766928,767356,,0.08,Australia
Oceania,Australia,Australian Gas Light Company,Utilities,22501465,2551620,,0.1,Australia
Oceania,Australia,Axa Asia Pacific Holdings,Financials,48853556,5539894,,0.19,Australia
Oceania,Australia,Bank Of Western Australia,Financials,3305999,374894,,0.04,Australia
Oceania,Australia,BHP,Basic Materials,169097653,19175331,,0.1,Australia
Oceania,Australia,Brambles Industries,Consumer Services,48409099,5489494,,0.1,Australia
Oceania,Australia,British American Tobacco Aus,Consumer Goods,10039522,1138461,,0.1,Australia
Oceania,Australia,Cable & Wireless Optus Ltd,Telecommunications,69528752,7884419,,0.1,Australia
Oceania,Australia,Caltex Australia,Oil & Gas,3022366,342730,,0.11,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,24475263,2775445,,0.1,Australia
Oceania,Australia,Coles Myer,Consumer Services,40637813,4608246,,0.1,Australia
Oceania,Australia,Commonwealth Bank Of Australia,Financials,194571671,22064033,,0.1,Australia
Oceania,Australia,Computershare,Industrials,17488185,1983125,,0.08,Australia
Oceania,Australia,CSL Ltd,Health Care,29372538,3330786,,0.1,Australia
Oceania,Australia,CSR Ltd,Basic Materials,23849447,2704479,,0.11,Australia
Oceania,Australia,Email Ltd,Industrials,5802843,658031,,0.15,Australia
Oceania,Australia,Faulding(Fh)& Co,Consumer Goods,9387716,1064548,,0.1,Australia
Oceania,Australia,Foodland Associated,Telecommunications,4382517,496969,,0.1,Australia
Oceania,Australia,Fosters Brewing Group,Consumer Goods,43839354,4971294,,0.1,Australia
Oceania,Australia,Franked Income Fund,Financials,5680753,644186,,0.07,Australia
Oceania,Australia,Gandel Retail Trust,Financials,5004825,567537,,0.08,Australia
Oceania,Australia,General Property Trust,Financials,17230208,1953871,,0.07,Australia
Oceania,Australia,Goodman Fielder Wattie,Health Care,8207656,930732,,0.1,Australia
Oceania,Australia,Harvey Norman Holdings Ltd,Consumer Services,19847913,2250713,,0.1,Australia
Oceania,Australia,Howard Smith,Consumer Services,6158868,698403,,0.08,Australia
Oceania,Australia,James Hardie Industries NV,Industrials,7331929,831426,,0.1,Netherlands
Oceania,Australia,John Fairfax Holdings Ltd,Consumer Services,4343276,492519,,0.03,Australia
Oceania,Australia,Lend Lease Corp,Industrials,33854775,3839063,,0.1,Australia
Oceania,Australia,Lion Nathan,Consumer Goods,6463489,732947,,0.06,Australia
Oceania,Australia,Macquarie Bank Ltd,Financials,18455031,2092763,,0.08,Australia
Oceania,Australia,Mayne Nickless,Consumer Services,7838147,888830,,0.07,Australia
Oceania,Australia,Mim Holdings,Oil & Gas,10129231,1148634,,0.1,Australia
Oceania,Australia,Mirvac Group,Financials,7747503,878551,,0.07,Australia
Oceania,Australia,National Australia Bank,Financials,235254879,26677426,,0.11,Australia
Oceania,Australia,National Foods,Consumer Goods,3098523,351366,,0.09,Australia
Oceania,Australia,Newcrest Mining Ltd,Basic Materials,5553351,629739,,0.11,Australia
Oceania,Australia,News Corp Ltd,Consumer Services,238363250,27029909,,0.09,Australia
Oceania,Australia,Normandy Mining,Oil & Gas,8623151,977848,,0.1,Australia
Oceania,Australia,Nrma Insurance Group,Financials,19001545,2154737,,0.09,Australia
Oceania,Australia,One Tel,Telecommunications,2443163,277050,,0.04,Australia
Oceania,Australia,Onesteel,Basic Materials,2165744,245591,,0.1,Australia
Oceania,Australia,Orica,Basic Materials,8169882,926448,,0.11,Australia
Oceania,Australia,Origin Energy,Utilities,5666250,642541,,0.1,Australia
Oceania,Australia,Pacific Dunlop,Industrials,7421866,841625,,0.11,Australia
Oceania,Australia,Pasminco,Oil & Gas,3874733,439387,,0.11,Australia
Oceania,Australia,Publishing & Broadcasting Ltd,Consumer Services,6292249,713528,,0.02,Australia
Oceania,Australia,Qantas Airways Ltd,Consumer Services,10718973,1215510,,0.05,Australia
Oceania,Australia,QBE Insurance Group Ltd,Financials,19213833,2178810,,0.09,Australia
Oceania,Australia,Rio Tinto Limited,Basic Materials,83438766,9461787,,0.12,Australia
Oceania,Australia,Santos,Oil & Gas,18380303,2084289,,0.1,Australia
Oceania,Australia,Schroders Property Fund Securities,Financials,3457401,392062,,0.07,Australia
Oceania,Australia,Seven Network,Consumer Services,1130893,128241,,0.01,Australia
Oceania,Australia,Southcorp Ltd,Consumer Goods,15538044,1761983,,0.1,Australia
Oceania,Australia,St George Bank Ltd,Financials,22682536,2572154,,0.07,Australia
Oceania,Australia,Stockland Trust Group,Financials,9405200,1066531,,0.07,Australia
Oceania,Australia,Suncorp Metway,Financials,12873837,1459867,,0.08,Australia
Oceania,Australia,TAB Ltd,Consumer Services,5871782,665848,,0.03,Australia
Oceania,Australia,Telstra Corp Ltd,Telecommunications,52825569,5990312,,0.01,Australia
Oceania,Australia,Transurban Group,Industrials,11607079,1316219,,0.1,Australia
Oceania,Australia,Wesfarmers,Consumer Services,21759401,2467472,,0.1,Australia
