Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Government of Australia,Government,3399409413,385486127,
Europe,Austria,Autobahnen Und Schnellstrassen,Government Related,111254777,12616066,
Europe,Austria,Government of Austria,Government,3335731254,378265153,
Europe,Austria,Oesterreichische Kontrollbank,Corporate,129606164,14697076,
Europe,Belgium,Government of Belgium,Government,3954140994,448391563,
North America,Canada,Canada Mortgage And Housing Corp,Securitized,393539402,44626569,
North America,Canada,Export Development Corp Canada,Government Related,619377358,70236135,
North America,Canada,Government of Canada,Government,7261880861,823482549,
Europe,Denmark,Government of Denmark,Government,2585367641,293175443,
Europe,Denmark,Storebæltforbindelsen A/S,Corporate,24158495,2739524,
Europe,Denmark,Øresundforbindelsen,Corporate,64579008,7323128,
Europe,Finland,Government of Finland,Government,970979724,110107130,
Europe,France,Government of France,Government,13782552488,1562913476,
Europe,Germany,Bayerische Landesbank,Government Related,318690191,36138821,
Europe,Germany,Deutsche Ausgleichsbank,Corporate,855414842,97002307,
Europe,Germany,Deutsche Siedlungs Und Landesrentenbank,Corporate,215757975,24466516,
Europe,Germany,Government of Germany,Government,21033920354,2385203873,
Europe,Germany,Kreditanstalt Fur Wiederaufbau,Government Related,1870817615,212146920,
Europe,Germany,Landesbank Hessen-Thueringen Gz,Government Related,323843547,36723201,
Europe,Germany,Landeskredietbank Baden Wurttemberg,Government Related,87445292,9916119,
Europe,Germany,Westdeutsche Landesbank Gz,Government Related,470902711,53399412,
International,International Organisations,African Development Bank,Government Related,616862751,69950984,
International,International Organisations,Asian Development Bank,Government Related,843471308,95647934,
International,International Organisations,Eurofima,Government Related,132813045,15060730,
International,International Organisations,European Bank For Reconstruction And Development,Government Related,258124660,29270812,
International,International Organisations,European Investment Bank,Government Related,1028531837,116633423,
International,International Organisations,Inter-American Development Bank,Government Related,82286743,9331150,
International,International Organisations,International Bank For Reconstruction And Development,Government Related,98375985,11155637,
International,International Organisations,Nordic Investment Bank,Government Related,143058450,16222538,
International,International Organisations,World Bank,Government Related,310609355,35222470,
Europe,Ireland,Government of Ireland,Government,658862586,74713680,
Middle East,Israel,Government of Israel,Government,69579103,7890129,
Europe,Italy,Government of Italy,Government,38480770323,4363641245,
Asia,Japan,Export-Import Bank Of Japan,Government Related,477600011,54158872,
Asia,Japan,Government of Japan,Government,43459415559,4928209509,
Asia,Japan,Japan Finance Corporation,Government Related,94550977,10721889,
Asia,Japan,Japan Highway Public Corporation,Government Related,303960687,34468525,
Asia,Japan,Japanese Development Bank,Government Related,208895992,23688381,
Asia,Japan,Kobe Municipality,Government Related,148752869,16868273,
Asia,Japan,Tokyo Bay Highway,Government Related,87896684,9967306,
Asia,Japan,Tokyo Municipality,Government Related,141273815,16020164,
Asia,Japan,Yokohama Municipality,Government Related,250263335,28379354,
Europe,Netherlands,Government of the Netherlands,Government,2973355093,337172432,
Europe,Portugal,Government of Portugal,Government,805997361,91398465,
Europe,Spain,Government of Spain,Government,12956845746,1469280007,
Europe,Spain,Instituto de Credito Oficial,Government Related,1561834901,177108908,
Europe,Sweden,Government of Sweden,Government,3270560552,370874928,
Europe,Switzerland,Government of Switzerland,Government,2932575677,332548129,
Europe,United Kingdom,Guaranty Export Finance Corporation,Government Related,151327356,17160215,
Europe,United Kingdom,United Kingdom Government,Government,16564109072,1878336347,
North America,United States,Federal Home Loan Mortgage Corporation,Corporate/Securitized,821479781,93154140,
North America,United States,Federal National Mortgage Association,Corporate/Securitized,3981462658,451489784,
North America,United States,Government of United States of America,Government,48958326340,5551774830,
North America,United States,Tennessee Valley Authority,Government Related,268659238,30465412,
