Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Amcor Ltd/Australia,Corporate Bonds,196632588,22708070,Australia
Oceania,Australia,APT Pipelines Ltd,Corporate Bonds,689832882,79665196,Australia
Oceania,Australia,Ausgrid Finance Pty Ltd,Corporate Bonds,351016704,40537086,Australia
Oceania,Australia,Australian Capital Territory,Government Related Bonds,316651261,36568400,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate Bonds/Securitized Bonds,965248274,111471481,Australia
Oceania,Australia,Bank of Queensland Ltd,Securitized Bonds,159962075,18473184,Australia
Oceania,Australia,BHP Billiton Finance Ltd,Corporate Bonds,382813893,44209177,Australia
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate Bonds,20998442,2425000,Australia
Oceania,Australia,Boral Finance Pty Ltd,Corporate Bonds,337196537,38941067,Australia
Oceania,Australia,Commonwealth Bank of Australia,Corporate Bonds/Securitized Bonds,4336845418,500839623,Australia
Oceania,Australia,Goodman US Finance Two LLC,Corporate Bonds,272942038,31520650,United States
Oceania,Australia,Government of Australia,Government,36398741605,4203500529,Australia
Oceania,Australia,LGFV Program Trust,Government Related Bonds,249631684,28828659,Australia
Oceania,Australia,Macquarie Group Ltd,Corporate Bonds,325525892,37593285,Australia
Oceania,Australia,National Australia Bank Ltd,Corporate Bonds/Securitized Bonds,1314922662,151853549,Australia
Oceania,Australia,New South Wales Treasury Corp,Government Related Bonds,3356291704,387600596,Australia
Oceania,Australia,Northern Territory Treasury Corp,Government Related Bonds,574856692,66387196,Australia
Oceania,Australia,Pacific National Finance Pty Ltd,Corporate Bonds,44409762,5128651,Australia
Oceania,Australia,Queensland Treasury Corp,Government Related Bonds,7418433800,856716167,Australia
Oceania,Australia,Scentre Group Trust 1,Corporate Bonds,339118724,39163050,Australia
Oceania,Australia,South Australian Government Financing Authority,Government Related Bonds,1031425184,119113907,Australia
Oceania,Australia,Sydney Airport Finance Co Pty Ltd,Corporate Bonds,126171663,14570906,Australia
Oceania,Australia,Tasmanian Public Finance Corp,Government Related Bonds,320079065,36964259,Australia
Oceania,Australia,Telstra Corp Ltd,Corporate Bonds,1441888783,166516203,Australia
Oceania,Australia,Transurban Finance Co Pty Ltd,Corporate Bonds,162497176,18765950,Australia
Oceania,Australia,Treasury Corp of Victoria,Government Related Bonds,2424746754,280021336,Australia
Oceania,Australia,Western Australian Treasury Corp,Government Related Bonds,2627516460,303438150,Australia
Oceania,Australia,Westpac Banking Corp,Corporate Bonds/Securitized Bonds,4418753064,510298709,Australia
Oceania,Australia,Woodside Finance Ltd,Corporate Bonds,323139273,37317667,Australia
Europe,Austria,Autobahnen- und Schnell- strassen-Finanzierungs AG,Government Related Bonds,510378434,58940939,Austria
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,Securitized Bonds,300845493,34743074,Austria
